Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
7.321602126772820407e-01,-5.199764728103194500e+01,-1.569545507993360234e+00,-2.159323295201399446e+02,-8.722899554060963290e-01
7.514275866951053429e-01,-5.154785233770925856e+01,-1.569661976821344007e+00,-2.186378620849696404e+02,-1.143669970621775667e+00
7.706949607129285340e-01,-5.110952688358020168e+01,-1.569790528215048164e+00,-2.223307186804767639e+02,-1.570679741125952100e+00
7.899623347307516141e-01,-5.068210703753656787e+01,-1.569931543694315756e+00,-2.257481338647763209e+02,-2.417142908825925751e+00
8.092297087485748053e-01,-5.026506994177334775e+01,-1.570085400494866334e+00,-2.234962522859873957e+02,2.880448654976387690e+00
8.284970827663981074e-01,-4.985792981935854584e+01,-1.570252460308705356e+00,-2.194458317705462207e+02,2.370505694521671369e+00
8.477644567842212986e-01,-4.946023444257757262e+01,-1.570433066288601021e+00,-2.163257904145008581e+02,2.077996963311989465e+00
8.670318308020444897e-01,-4.907156199217813253e+01,-1.570627548572755217e+00,-2.139428014450714102e+02,1.867641216689112094e+00
8.862992048198676809e-01,-4.869151829123067898e+01,-1.570836236414235421e+00,-2.120214569008630008e+02,1.697718295082637940e+00
9.055665788376909831e-01,-4.831973439151229854e+01,-1.571059473474917034e+00,-2.103886105930158408e+02,1.552181172976891510e+00
9.248339528555141742e-01,-4.795586447923889750e+01,-1.571297632279698542e+00,-2.089365302482707989e+02,1.422977196442693382e+00
9.441013268733373653e-01,-4.759958405533865289e+01,-1.571551124285736067e+00,-2.075977017660861748e+02,1.304911877052629787e+00
9.633687008911605565e-01,-4.725058833752356691e+01,-1.571820403316921633e+00,-2.063318738251448394e+02,1.194055717290736451e+00
9.826360749089838587e-01,-4.690859083000167118e+01,-1.572105961870482460e+00,-2.051183207596177738e+02,1.087342261047389513e+00
1.001903448926807050e+00,-4.657332201264586047e+01,-1.572408321559953803e+00,-2.039498380316145187e+02,9.825454059129349327e-01
1.021170822944630352e+00,-4.624452811365495108e+01,-1.572728020286679351e+00,-2.028274656182439628e+02,8.782936816869706398e-01
1.040438196962453432e+00,-4.592196994548778832e+01,-1.573065599334215969e+00,-2.017560751562891426e+02,7.739990254930398939e-01
1.059705570980276734e+00,-4.560542179960978615e+01,-1.573421593357008597e+00,-2.007411326531607756e+02,6.696990085904658274e-01
1.078972944998099814e+00,-4.529467040798662936e+01,-1.573796525296495386e+00,-1.997866897713677474e+02,5.658588572858624932e-01
1.098240319015923117e+00,-4.498951398588231143e+01,-1.574190906883605745e+00,-1.988943959098265566e+02,4.631777132517529427e-01
1.117507693033746197e+00,-4.468976137048143471e+01,-1.574605243945994326e+00,-1.980632288084343315e+02,3.624233635518541718e-01
1.136775067051569499e+00,-4.439523126392118968e+01,-1.575040044594232302e+00,-1.972896829656841646e+02,2.643019764751595169e-01
1.156042441069392579e+00,-4.410575157963273796e+01,-1.575495827780290403e+00,-1.965682455045754864e+02,1.693610321524954554e-01
1.175309815087215881e+00,-4.382115888036408080e+01,-1.575973129813576623e+00,-1.958920640197842999e+02,7.792308613193420219e-02
1.194577189105039183e+00,-4.354129788780383592e+01,-1.576472507118919619e+00,-1.952537432360284413e+02,-9.948961492535060569e-03
1.213844563122862263e+00,-4.326602103953706546e+01,-1.576994534612486509e+00,-1.946461972931680862e+02,-9.445191328300905909e-02
1.233111937140685566e+00,-4.299518807010497312e+01,-1.577539800254735836e+00,-1.940634511288610895e+02,-1.760054371653096972e-01
1.252379311158508868e+00,-4.272866559877044779e+01,-1.578108897307197722e+00,-1.935012583541542597e+02,-2.551815461666568363e-01
1.271646685176331948e+00,-4.246632671556541538e+01,-1.578702416337598669e+00,-1.929574139570115960e+02,-3.326116746235679988e-01
1.290914059194155250e+00,-4.220805056694223367e+01,-1.579320938978662880e+00,-1.924316994011035433e+02,-4.088894552613582811e-01
1.310181433211978330e+00,-4.195372195042274654e+01,-1.579965034891059217e+00,-1.919254874268188189e+02,-4.844889739777237248e-01
1.329448807229801632e+00,-4.170323093213184507e+01,-1.580635262481284276e+00,-1.914411162180232679e+02,-5.597135534426033177e-01
1.348716181247624935e+00,-4.145647250113131577e+01,-1.581332172930973945e+00,-1.909811841221787176e+02,-6.346812320025566612e-01
1.367983555265448015e+00,-4.121334627032391040e+01,-1.582056316266547968e+00,-1.905479079088241292e+02,-7.093440669642057106e-01
1.387250929283271317e+00,-4.097375622672780082e+01,-1.582808247742174323e+00,-1.901426454536949961e+02,-7.835323219507871473e-01
1.406518303301094619e+00,-4.073761052612266553e+01,-1.583588532823424933e+00,-1.897656325438539966e+02,-8.570123168672453273e-01
1.425785677318917699e+00,-4.050482132055054763e+01,-1.584397749515962683e+00,-1.894159409809009844e+02,-9.295471874676116686e-01
1.445053051336741001e+00,-4.027530460358113373e+01,-1.585236487542238226e+00,-1.890916362615032256e+02,-1.000951462841507267e+00
1.464320425354564081e+00,-4.004898005844098918e+01,-1.586105344717434917e+00,-1.887900937419806837e+02,-1.071132219575495981e+00
1.483587799372387384e+00,-3.982577089785348790e+01,-1.587004921588599515e+00,-1.885084164981186916e+02,-1.140111479628696634e+00
1.502855173390210686e+00,-3.960560369062280017e+01,-1.587935815799034200e+00,-1.882438841999925785e+02,-1.208026915466057227e+00
1.522122547408033766e+00,-3.938840817691078655e+01,-1.588898617634804111e+00,-1.879943541277202996e+02,-1.275111194185704511e+00
1.541389921425857068e+00,-3.917411707998365955e+01,-1.589893907822247598e+00,-1.877585400574728283e+02,-1.341654220038308143e+00
1.560657295443680148e+00,-3.896266592548890628e+01,-1.590922257994175748e+00,-1.875361169577786882e+02,-1.407956160147964875e+00
1.579924669461503228e+00,-3.875399287933926473e+01,-1.591984233511013258e+00,-1.873276367678277836e+02,-1.474281157976872425e+00
1.599192043479326530e+00,-3.854803861218850614e+01,-1.593080397707151263e+00,-1.871342825797060527e+02,-1.540821169681681369e+00
1.618459417497149611e+00,-3.834474619325204969e+01,-1.594211316289180003e+00,-1.869575218798939886e+02,-1.607676515452260091e+00
1.637726791514972913e+00,-3.814406101033794982e+01,-1.595377560619899659e+00,-1.867987347277120875e+02,-1.674855584179173018e+00
1.656994165532796215e+00,-3.794593070800401335e+01,-1.596579708963041355e+00,-1.866588886248460994e+02,-1.742292050110189061e+00
1.676261539550619295e+00,-3.775030513302039026e+01,-1.597818345334305556e+00,-1.865383140153212764e+02,-1.809874959354901502e+00
1.695528913568442597e+00,-3.755713627643483221e+01,-1.599094056244329431e+00,-1.864366106963429672e+02,-1.877485439642562204e+00
1.714796287586265899e+00,-3.736637820436779123e+01,-1.600407426156594370e+00,-1.863526917133597465e+02,-1.945033376213046949e+00
1.734063661604088979e+00,-3.717798697435777910e+01,-1.601759032780220471e+00,-1.862849499524998294e+02,-2.012487843148195399e+00
1.753331035621912282e+00,-3.699192053931987800e+01,-1.603149443305274646e+00,-1.862315140170680934e+02,-2.079896202409238448e+00
1.772598409639735362e+00,-3.680813864557372028e+01,-1.604579212382402753e+00,-1.861905448471333671e+02,-2.147388594003467155e+00
1.791865783657558664e+00,-3.662660273381111153e+01,-1.606048882142010470e+00,-1.861605155121220037e+02,-2.215167050588652931e+00
1.811133157675381966e+00,-3.644727585175573381e+01,-1.607558983983296663e+00,-1.861404174993294305e+02,-2.283481428847651706e+00
1.830400531693205046e+00,-3.627012258475001261e+01,-1.609110041392460833e+00,-1.861298502136907302e+02,-2.352597136471318517e+00
1.849667905711028348e+00,-3.609510900635436315e+01,-1.610702572794121989e+00,-1.861289749320983731e+02,-2.422761425820139980e+00
1.868935279728851651e+00,-3.592220264643266603e+01,-1.612337093460111559e+00,-1.861383440686074948e+02,-2.494175195190847294e+00
1.888202653746674731e+00,-3.575137247037422128e+01,-1.614014115779856429e+00,-1.861586427832818629e+02,-2.566975709180562060e+00
1.907470027764498033e+00,-3.558258886106017371e+01,-1.615734147652270414e+00,-1.861903956346357631e+02,-2.641232951982838362e+00
1.926737401782321113e+00,-3.541582359540696245e+01,-1.617497689262590521e+00,-1.862336934836259559e+02,-2.716959314419217009e+00
1.946004775800144415e+00,-3.525104980967049073e+01,-1.619305228922798046e+00,-1.862879871783309795e+02,-2.794129748294812643e+00
1.965272149817967717e+00,-3.508824195147435887e+01,-1.621157238873440765e+00,-1.863519790894731898e+02,-2.872707806718796775e+00
1.984539523835790797e+00,-3.492737572067547092e+01,-1.623054171916086919e+00,-1.864236255211611990e+02,-2.952672184013993117e+00
2.003806897853614100e+00,-3.476842800458094018e+01,-1.624996459485548383e+00,-1.865002449981227812e+02,-3.034038369492698450e+00
2.023074271871437180e+00,-3.461137681479866046e+01,-1.626984511356896368e+00,-1.865787107980755195e+02,-3.116870756985925528e+00
2.042341645889260704e+00,-3.445620123272671265e+01,-1.629018716730274097e+00,-1.866556922566058176e+02,3.081903300889961894e+00
2.061609019907083784e+00,-3.430288136850383296e+01,-1.631099446068947856e+00,-1.867279007016669254e+02,2.995766698885101054e+00
2.080876393924906864e+00,-3.415139833480959908e+01,-1.633227052878713836e+00,-1.867922953929807761e+02,2.907751065169536631e+00
2.100143767942730388e+00,-3.400173423317755805e+01,-1.635401874654088594e+00,-1.868462145210696974e+02,2.817730181938007838e+00
2.119411141960553469e+00,-3.385387214748097051e+01,-1.637624232461458940e+00,-1.868874151098733023e+02,2.725641836283506869e+00
2.138678515978376549e+00,-3.370779613775347627e+01,-1.639894429009263410e+00,-1.869140288009154460e+02,2.631519516857487861e+00
2.157945889996199629e+00,-3.356349122787129602e+01,-1.642212745464047829e+00,-1.869244610151393715e+02,2.535513365057787460e+00
2.177213264014022709e+00,-3.342094338269667730e+01,-1.644579437598158389e+00,-1.869172727720303442e+02,2.437896515531296160e+00
2.196480638031846233e+00,-3.328013947345478130e+01,-1.646994732014526841e+00,-1.868910848677548131e+02,2.339055594305020414e+00
2.215748012049669313e+00,-3.314106723350252537e+01,-1.649458823148589159e+00,-1.868445346887017138e+02,2.239466766786170737e+00
2.235015386067492393e+00,-3.300371520933103398e+01,-1.651971871515300672e+00,-1.867763008584041131e+02,2.139660920177016923e+00
2.254282760085315918e+00,-3.286807271292401822e+01,-1.654534003318476554e+00,-1.866851947376158307e+02,2.040183114876890969e+00
2.273550134103138998e+00,-3.273412978116709837e+01,-1.657145311168348512e+00,-1.865703037211289939e+02,1.941552239851968897e+00
2.292817508120962078e+00,-3.260187714603681286e+01,-1.659805855361974558e+00,-1.864311607806680797e+02,1.844226749636286300e+00
2.312084882138785158e+00,-3.247130621636434000e+01,-1.662515665046265578e+00,-1.862679082886775745e+02,1.748581339726348105e+00
2.331352256156608682e+00,-3.234240906889087341e+01,-1.665274738636939755e+00,-1.860814223489945221e+02,1.654897443843821092e+00
2.350619630174431762e+00,-3.221517844394259100e+01,-1.668083043088945727e+00,-1.858733675929946116e+02,1.563367777599653508e+00
2.369887004192254842e+00,-3.208960773998084903e+01,-1.670940511940264939e+00,-1.856461623753955905e+02,1.474112369846498627e+00
2.389154378210078367e+00,-3.196569100178352230e+01,-1.673847042390499862e+00,-1.854028497709248029e+02,1.387201335272095548e+00
2.408421752227901447e+00,-3.184342289890675559e+01,-1.676802491936264072e+00,-1.851468878044166502e+02,1.302678654424599403e+00
2.427689126245724527e+00,-3.172279869381884865e+01,-1.679806675198799892e+00,-1.848818884646840104e+02,1.220581667764258249e+00
2.446956500263548051e+00,-3.160381420192245727e+01,-1.682859361518701968e+00,-1.846113450148942263e+02,1.140952619605880125e+00
2.466223874281371131e+00,-3.148646574782608454e+01,-1.685960273679070198e+00,-1.843383887010474211e+02,1.063840838407218881e+00
2.485491248299194211e+00,-3.137075012312685729e+01,-1.689109087813589261e+00,-1.840656096044876051e+02,9.892963806780307179e-01
2.504758622317017736e+00,-3.125666455041378455e+01,-1.692305434244815832e+00,-1.837949644020663982e+02,9.173577272716871844e-01
2.524025996334840816e+00,-3.114420665638097674e+01,-1.695548898764756229e+00,-1.835277790275887355e+02,8.480371724944321121e-01
2.543293370352663896e+00,-3.103337445437897557e+01,-1.698839023775909896e+00,-1.832648390525588127e+02,7.813078397382197116e-01
2.562560744370487420e+00,-3.092416633414289251e+01,-1.702175308778331564e+00,-1.830065468211357427e+02,7.170958271205507550e-01
2.581828118388310500e+00,-3.081658105452216390e+01,-1.705557209894771997e+00,-1.827531136476326878e+02,6.552799026099899171e-01
2.601095492406133580e+00,-3.071061773430114172e+01,-1.708984138412228182e+00,-1.825047495976344294e+02,5.956995639050989277e-01
2.620362866423956660e+00,-3.060627583681662500e+01,-1.712455458604769110e+00,-1.822618143376612068e+02,5.381704136407911010e-01
2.639630240441780185e+00,-3.050355514584745364e+01,-1.715970485311502536e+00,-1.820249010568315668e+02,4.825040756626724492e-01
2.658897614459603265e+00,-3.040245573266918555e+01,-1.719528481820127741e+00,-1.817948403531457870e+02,4.285287455240556764e-01
2.678164988477426345e+00,-3.030297791656108686e+01,-1.723128658532881774e+00,-1.815726288703766329e+02,3.761062632733216393e-01
2.697432362495249869e+00,-3.020512222277677594e+01,-1.726770172691189043e+00,-1.813593038001668845e+02,3.251423842726703928e-01
2.716699736513072949e+00,-3.010888934258965932e+01,-1.730452129165261699e+00,-1.811557950635893519e+02,2.755884649651291207e-01
2.735967110530896029e+00,-3.001428009936542551e+01,-1.734173582050063889e+00,-1.809627899327469720e+02,2.274346394919896375e-01
2.755234484548719553e+00,-2.992129542290041755e+01,-1.737933536621296460e+00,-1.807806402471655076e+02,1.806962853535668823e-01
2.774501858566542634e+00,-2.982993633198994488e+01,-1.741730951143604322e+00,-1.806093320932021697e+02,1.353968276000079851e-01
2.793769232584365714e+00,-2.974020392298278281e+01,-1.745564738102030056e+00,-1.804485243572963782e+02,9.155053795999788802e-02
