Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
7.321602126772820407e-01,-5.199767809329789259e+01,-1.569573893067155668e+00,-2.039864871335607006e+02,-4.856802004893355784e-01
7.514275866951053429e-01,-5.154788171221341031e+01,-1.569689037172073753e+00,-2.045707663977528341e+02,-5.286794887318980729e-01
7.706949607129285340e-01,-5.110955317907348672e+01,-1.569816463378445048e+00,-2.051777522150212008e+02,-5.738165577620677471e-01
7.899623347307516141e-01,-5.068212951627553764e+01,-1.569956609322457508e+00,-2.058629018195587435e+02,-6.204845066244403240e-01
8.092297087485748053e-01,-5.026508883778791414e+01,-1.570109848689004828e+00,-2.066905482384732409e+02,-6.644888313502298471e-01
8.284970827663981074e-01,-4.985794615260897444e+01,-1.570276487999435533e+00,-2.077271623943931615e+02,-6.969097220814233218e-01
8.477644567842212986e-01,-4.946024966012569735e+01,-1.570456783513670462e+00,-2.090298884497441634e+02,-7.016032688509449278e-01
8.670318308020444897e-01,-4.907157754909633240e+01,-1.570650972000531942e+00,-2.106034952363781656e+02,-6.501004081986062610e-01
8.862992048198676809e-01,-4.869153528399091613e+01,-1.570859306511546594e+00,-2.122406945494138029e+02,-4.974402139277859791e-01
9.055665788376909831e-01,-4.831975332904866605e+01,-1.571082088055451242e+00,-2.131847371608179458e+02,-2.137987542910594896e-01
9.248339528555141742e-01,-4.795588523188385466e+01,-1.571319686005657967e+00,-2.125002627154923687e+02,1.097589488832342863e-01
9.441013268733373653e-01,-4.759960597249518344e+01,-1.571572543494769159e+00,-2.106033638384346887e+02,3.265651729920563406e-01
9.633687008911605565e-01,-4.725061048384691276e+01,-1.571841168000526867e+00,-2.084944099044510324e+02,4.216906616973459809e-01
9.826360749089838587e-01,-4.690861226613871793e+01,-1.572126110821919998e+00,-2.065973267255736516e+02,4.413659519867448311e-01
1.001903448926807050e+00,-4.657334204404985201e+01,-1.572427941403378160e+00,-2.049760754108466756e+02,4.210408227342682941e-01
1.021170822944630352e+00,-4.624454644785745927e+01,-1.572747223075943168e+00,-2.035939023208980814e+02,3.807705822601001877e-01
1.040438196962453432e+00,-4.592198672810140181e+01,-1.573084495762886004e+00,-2.023966280462599912e+02,3.314447222597434184e-01
1.059705570980276734e+00,-4.560543753336752104e+01,-1.573440268944336751e+00,-2.013332678993388356e+02,2.787928916653721334e-01
1.078972944998099814e+00,-4.529468578834617176e+01,-1.573815025347870877e+00,-2.003610792569829187e+02,2.254294167710322594e-01
1.098240319015923117e+00,-4.498952970433435894e+01,-1.574209233163280652e+00,-1.994473690812951929e+02,1.719866790510592158e-01
1.117507693033746197e+00,-4.468977793950556077e+01,-1.574623362699753226e+00,-1.985704039204685785e+02,1.179073582209791832e-01
1.136775067051569499e+00,-4.439524890636795362e+01,-1.575057902696398449e+00,-1.977192194806051475e+02,6.210787354851523417e-02
1.156042441069392579e+00,-4.410577020442492824e+01,-1.575513372030582726e+00,-1.968919620336413914e+02,3.523432905200854764e-03
