Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
7.321602126772820407e-01,-5.199833706966725799e+01,-1.569682259138464930e+00,-2.032550136394574167e+02,-3.141486739297628894e+00
7.514275866951053429e-01,-5.154850645806317289e+01,-1.569787733824589138e+00,-2.030798729719994640e+02,3.067960270305175818e+00
7.706949607129285340e-01,-5.111014572533636624e+01,-1.569906373772698593e+00,-2.029093389487013894e+02,3.000607820395459591e+00
7.899623347307516141e-01,-5.068269131432411712e+01,-1.570038551995732057e+00,-2.027047930415159271e+02,2.936262671790046408e+00
8.092297087485748053e-01,-5.026562107617860420e+01,-1.570184602345551905e+00,-2.024453707818045700e+02,2.870077521469087678e+00
8.284970827663981074e-01,-4.985845005232604876e+01,-1.570344796434893553e+00,-2.021316277729187050e+02,2.797025000977607423e+00
8.477644567842212986e-01,-4.946072668077898982e+01,-1.570519345093253083e+00,-2.017816168045788174e+02,2.713197865900673911e+00
8.670318308020444897e-01,-4.907202946644375174e+01,-1.570708421079952899e+00,-2.014217588526219345e+02,2.616518071298521431e+00
8.862992048198676809e-01,-4.869196413499143716e+01,-1.570912195123385535e+00,-2.010775955826831307e+02,2.506718424928111144e+00
9.055665788376909831e-01,-4.832016125458740419e+01,-1.571130874990383397e+00,-2.007678313584192722e+02,2.384890408798337802e+00
9.248339528555141742e-01,-4.795627427080688676e+01,-1.571364737557936042e+00,-2.005020265712379341e+02,2.252955630587250013e+00
9.441013268733373653e-01,-4.759997786843374001e+01,-1.571614146466794537e+00,-2.002806916146294043e+02,2.113253559938888415e+00
9.633687008911605565e-01,-4.725096655768723508e+01,-1.571879552069747721e+00,-2.000964944254616853e+02,1.968274968740588271e+00
9.826360749089838587e-01,-4.690895338537656301e+01,-1.572161474942241899e+00,-1.999358576371882066e+02,1.820491894538896815e+00
1.001903448926807050e+00,-4.657366869220791727e+01,-1.572460478084571012e+00,-1.997807283314756148e+02,1.672221953712333953e+00
1.021170822944630352e+00,-4.624485887037830878e+01,-1.572777135249268543e+00,-1.996105759815997089e+02,1.525484702630684808e+00
1.040438196962453432e+00,-4.592228511250463896e+01,-1.573112003147850713e+00,-1.994047298778300785e+02,1.381842747163107621e+00
1.059705570980276734e+00,-4.560572217524357086e+01,-1.573465603707049798e+00,-1.991450420896741775e+02,1.242259764024206348e+00
1.078972944998099814e+00,-4.529495720169950346e+01,-1.573838419586588433e+00,-1.988185951621299807e+02,1.107035416011570295e+00
1.098240319015923117e+00,-4.498978865217277701e+01,-1.574230902660714859e+00,-1.984198772540929951e+02,9.758719054329857423e-01
1.117507693033746197e+00,-4.469002538314438766e+01,-1.574643492000681988e+00,-1.979517380738189161e+02,8.480796908477462592e-01
1.136775067051569499e+00,-4.439548589341640650e+01,-1.575076635823800864e+00,-1.974247071199487493e+02,7.228638633347390652e-01
1.156042441069392579e+00,-4.410599773026928005e+01,-1.575530811326543601e+00,-1.968548336802894028e+02,5.995938640963442978e-01
1.175309815087215881e+00,-4.382139702437835638e+01,-1.576006537321547274e+00,-1.962607414352049489e+02,4.779755418526147048e-01
1.194577189105039183e+00,-4.354152810609055280e+01,-1.576504376795447859e+00,-1.956607440755405491e+02,3.580986412662051643e-01
1.213844563122862263e+00,-4.326624315114261776e+01,-1.577024929269030151e+00,-1.950706254845361798e+02,2.403830990897381781e-01
1.233111937140685566e+00,-4.299540181150906903e+01,-1.577568815446326100e+00,-1.945022980702773054e+02,1.254681904548935745e-01
1.252379311158508868e+00,-4.272887080424037265e+01,-1.578136658444067475e+00,-1.939632607395782600e+02,1.408268097011613346e-02
1.271646685176331948e+00,-4.246652345308785925e+01,-1.578729066496305844e+00,-1.934566659483854778e+02,-9.308158820367522235e-02
1.290914059194155250e+00,-4.220823919870376528e+01,-1.579346621355016689e+00,-1.929818244062674069e+02,-1.954825172552019097e-01
1.310181433211978330e+00,-4.195390310810826406e+01,-1.579989874905007419e+00,-1.925350399074916083e+02,-2.928209564348802085e-01
1.329448807229801632e+00,-4.170340541962279701e+01,-1.580659354272867745e+00,-1.921107079799972155e+02,-3.851060151117220998e-01
1.348716181247624935e+00,-4.145664115481255863e+01,-1.581355573533651082e+00,-1.917025977652938309e+02,-4.726802300414149616e-01
1.367983555265448015e+00,-4.121350981600512853e+01,-1.582079048553696188e+00,-1.913051712168850145e+02,-5.561923747006308760e-01
1.387250929283271317e+00,-4.097391517048785659e+01,-1.582830310916177652e+00,-1.909147189127722584e+02,-6.365137277164745200e-01
1.406518303301094619e+00,-4.073776510528587380e+01,-1.583609917353002272e+00,-1.905300707322604410e+02,-7.146090110565144204e-01
1.425785677318917699e+00,-4.050497152390556721e+01,-1.584418452471314076e+00,-1.901527171439730637e+02,-7.913893024233052964e-01
1.445053051336741001e+00,-4.027545025157387215e+01,-1.585256524417254509e+00,-1.897863374313565998e+02,-8.675818131238213216e-01
1.464320425354564081e+00,-4.004912091917780970e+01,-1.586124754962405126e+00,-1.894358995078310102e+02,-9.436455821112211817e-01
1.483587799372387384e+00,-3.982590680694165997e+01,-1.587023766857171614e+00,-1.891065903843893068e+02,-1.019746277808274648e+00
1.502855173390210686e+00,-3.960573464373939601e+01,-1.587954171846538642e+00,-1.888028275790486248e+02,-1.095786180951783928e+00
1.522122547408033766e+00,-3.938853437281473191e+01,-1.588916562387059139e+00,-1.885275225308363076e+02,-1.171474355711788151e+00
1.541389921425857068e+00,-3.917423890575811640e+01,-1.589911508978104404e+00,-1.882816740199894809e+02,-1.246418777250030363e+00
1.560657295443680148e+00,-3.896278389121461316e+01,-1.590939563454824457e+00,-1.880643014279717420e+02,-1.320224018321320747e+00
1.579924669461503228e+00,-3.875410752211408294e+01,-1.592001267011995624e+00,-1.878726909083121939e+02,-1.392581186265021476e+00
1.599192043479326530e+00,-3.854815039628851991e+01,-1.593097160546617097e+00,-1.877029068496685795e+02,-1.463338912232367228e+00
1.618459417497149611e+00,-3.834485543280564457e+01,-1.594227794410472354e+00,-1.875504974073955395e+02,-1.532545438158092299e+00
1.637726791514972913e+00,-3.814416783364177377e+01,-1.595393734948689302e+00,-1.874112884030735700e+02,-1.600453991071204563e+00
1.656994165532796215e+00,-3.794603507076975291e+01,-1.596595566156325807e+00,-1.872821244269357805e+02,-1.667488594441024707e+00
1.676261539550619295e+00,-3.775040687470202272e+01,-1.597833886132379311e+00,-1.871614032145834301e+02,-1.734175570700684510e+00
1.695528913568442597e+00,-3.755723520282025163e+01,-1.599109299380316873e+00,-1.870492812391720179e+02,-1.801054998595651435e+00
1.714796287586265899e+00,-3.736647417357082190e+01,-1.600422407037559669e+00,-1.869475060329266398e+02,-1.868592340626016535e+00
1.734063661604088979e+00,-3.717807996355176670e+01,-1.601773797558020407e+00,-1.868589274387776129e+02,-1.937110204020475290e+00
1.753331035621912282e+00,-3.699201067566843903e+01,-1.603164040131811241e+00,-1.867868162408559840e+02,-2.006753738383787677e+00
1.772598409639735362e+00,-3.680822619496640868e+01,-1.604593682296701962e+00,-1.867341474687572429e+02,-2.077493649113472785e+00
1.791865783657558664e+00,-3.662668805237166225e+01,-1.606063252019227727e+00,-1.867029873654412597e+02,-2.149162226043676682e+00
1.811133157675381966e+00,-3.644735931463642942e+01,-1.607573263322984225e+00,-1.866940784359612451e+02,-2.221512553084899366e+00
1.830400531693205046e+00,-3.627020451204221274e+01,-1.609124223634035733e+00,-1.867066695106581165e+02,-2.294289198032675170e+00
1.849667905711028348e+00,-3.609518960582752811e+01,-1.610716640625509566e+00,-1.867385994741669890e+02,-2.367298780327283136e+00
