Frequency (GHz), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad)
3.853474762729154623e-02,-2.507742111494327375e+01,3.086285287254212584e+00,-6.341097505907369936e+01,1.527453234774951207e+00
4.495720556517347061e-02,-2.507794833135053381e+01,3.080601631365753157e+00,-6.207259418430081155e+01,1.523813235947528266e+00
5.137966350305539498e-02,-2.507844287844265097e+01,3.074518827495234419e+00,-6.091328448553862529e+01,1.519760030639811799e+00
5.780212144093731935e-02,-2.507891512922892829e+01,3.068171820602170197e+00,-5.989076998716533495e+01,1.515431424310497599e+00
6.422457937881924372e-02,-2.507936638158693654e+01,3.061641189330368995e+00,-5.897617991011352245e+01,1.510910122878409645e+00
7.064703731670117504e-02,-2.507979478254596728e+01,3.054977774740618379e+00,-5.814891942162448402e+01,1.506248773947548303e+00
7.706949525458309247e-02,-2.508019812287579242e+01,3.048215036259871447e+00,-5.739378073773654165e+01,1.501482489575203694e+00
8.349195319246500990e-02,-2.508057523265685873e+01,3.041375744985924001e+00,-5.669921414922016822e+01,1.496635590048845055e+00
8.991441113034694121e-02,-2.508092663858348814e+01,3.034475844099102648e+00,-5.605624143386136637e+01,1.491725457724770498e+00
9.633686906822887253e-02,-2.508125476951171606e+01,3.027526793860725540e+00,-5.545774496198659165e+01,1.486764849396334576e+00
1.027593270061107900e-01,-2.508156385648791797e+01,3.020537057396459169e+00,-5.489798665410289402e+01,1.481763341520298871e+00
1.091817849439927074e-01,-2.508185961945683218e+01,3.013513072875949383e+00,-5.437227300314580702e+01,1.476728265340200075e+00
1.156042428818746387e-01,-2.508214881206296099e+01,3.006459903163586578e+00,-5.387671597458659534e+01,1.471665330281513251e+00
1.220267008197565700e-01,-2.508243868751718963e+01,2.999381673493330958e+00,-5.340805862996396058e+01,1.466579050477024415e+00
1.284491587576384874e-01,-2.508273644351849185e+01,2.992281864217301912e+00,-5.296354552534993587e+01,1.461473043341934508e+00
1.348716166955203910e-01,-2.508304869881424892e+01,2.985163501500607275e+00,-5.254082476005611113e+01,1.456350242864322020e+00
1.412940746334023501e-01,-2.508338104658249890e+01,2.978029275071716775e+00,-5.213787283086153934e+01,1.451213054760766008e+00
1.477165325712842536e-01,-2.508373772006537905e+01,2.970881604087732164e+00,-5.175293620269702899e+01,1.446063471200961015e+00
1.541389905091661849e-01,-2.508412139410194897e+01,2.963722667258029020e+00,-5.138448532285561043e+01,1.440903156900373627e+00
1.605614484470480885e-01,-2.508453313314080901e+01,2.956554410130401322e+00,-5.103117802809656922e+01,1.435733514600338045e+00
1.669839063849300198e-01,-2.508497248292632520e+01,2.949378540046457164e+00,-5.069183013236410318e+01,1.430555735483481916e+00
1.734063643228119511e-01,-2.508543769040115023e+01,2.942196517247289034e+00,-5.036539156782092164e+01,1.425370838424919739e+00
1.798288222606938824e-01,-2.508592602547628303e+01,2.935009548709682115e+00,-5.005092686652595546e+01,1.420179700862233885e+00
1.862512801985757860e-01,-2.508643417007822052e+01,2.927818589413709649e+00,-4.974759906821568478e+01,1.414983083297405964e+00
1.926737381364577451e-01,-2.508695863496090794e+01,2.920624353873878754e+00,-4.945465635686044692e+01,1.409781648905862106e+00
1.990961960743396486e-01,-2.508749616355665424e+01,2.913427338956523283e+00,-4.917142088885576356e+01,1.404575979346991188e+00
2.055186540122215799e-01,-2.508804408469802638e+01,2.906227857337842391e+00,-4.889727939518137134e+01,1.399366587597717038e+00
2.119411119501034835e-01,-2.508860058210042610e+01,2.899026079525082622e+00,-4.863167522989847669e+01,1.394153928433201406e+00
2.183635698879854148e-01,-2.508916485746444991e+01,2.891822081258815569e+00,-4.837410160587158714e+01,1.388938407034154388e+00
2.247860278258673461e-01,-2.508973717508001045e+01,2.884615892410137938e+00,-4.812409581121218594e+01,1.383720386093272525e+00
2.312084857637492774e-01,-2.509031878783908454e+01,2.877407543227039177e+00,-4.788123424068225376e+01,1.378500191713273315e+00
2.376309437016311810e-01,-2.509091175643963112e+01,2.870197103977381925e+00,-4.764512810809489451e+01,1.373278118328322694e+00
2.440534016395131400e-01,-2.509151868414585707e+01,2.862984714651312768e+00,-4.741541973075420202e+01,1.368054432834037160e+00
2.504758595773950436e-01,-2.509214239773221422e+01,2.855770602355092169e+00,-4.719177929677960748e+01,1.362829378074842834e+00
2.568983175152769749e-01,-2.509278561036779820e+01,2.848555085250512597e+00,-4.697390204194561392e+01,1.357603175808621110e+00
2.633207754531589062e-01,-2.509345060367806823e+01,2.841338563244431459e+00,-4.676150577533438479e+01,1.352376029245274225e+00
2.697432333910407820e-01,-2.509413896388562648e+01,2.834121496974097099e+00,-4.655432870332220574e+01,1.347148125236841576e+00
2.761656913289227688e-01,-2.509485140098625067e+01,2.826904377828326265e+00,-4.635212750972292639e+01,1.341919636181063247e+00
2.825881492668047001e-01,-2.509558767092417852e+01,2.819687692667669499e+00,-4.615467565668942740e+01,1.336690721687272987e+00
2.890106072046865759e-01,-2.509634660956848862e+01,2.812471887459023545e+00,-4.596176187653960454e+01,1.331461530042701069e+00
2.954330651425685073e-01,-2.509712627507052929e+01,2.805257334157480908e+00,-4.577318882926476817e+01,1.326232199508482479e+00
3.018555230804504386e-01,-2.509792418314790297e+01,2.798044304828702256e+00,-4.558877190428590609e+01,1.321002859467609758e+00
3.082779810183323699e-01,-2.509873760925349018e+01,2.790832956232868423e+00,-4.540833814819450254e+01,1.315773631441662594e+00
3.147004389562143012e-01,-2.509956392360357924e+01,2.783623326955583899e+00,-4.523172530286601756e+01,1.310544629989186749e+00
3.211228968940961770e-01,-2.510040092058186545e+01,2.776415347781334031e+00,-4.505878094055968575e+01,1.305315963495956133e+00
3.275453548319781638e-01,-2.510124710369991874e+01,2.769208864501404133e+00,-4.488936168449150443e+01,1.300087734865853051e+00
3.339678127698600396e-01,-2.510210189126342328e+01,2.762003670888534046e+00,-4.472333250494834544e+01,1.294860042120504318e+00
3.403902707077419709e-01,-2.510296571590173897e+01,2.754799548315387092e+00,-4.456056608234756311e+01,1.289632978915919548e+00
3.468127286456239022e-01,-2.510384000245737468e+01,2.747596307589009967e+00,-4.440094222977924687e+01,1.284406634984910811e+00
3.532351865835058335e-01,-2.510472702229682085e+01,2.740393828134236376e+00,-4.424434736852882111e+01,1.279181096514773852e+00
3.596576445213877649e-01,-2.510562963649410051e+01,2.733192089756005139e+00,-4.409067405089384550e+01,1.273956446470356330e+00
3.660801024592696962e-01,-2.510655095398789172e+01,2.725991192859743339e+00,-4.393982052530397908e+01,1.268732764872989138e+00
3.725025603971515720e-01,-2.510749394214974117e+01,2.718791364166577740e+00,-4.379169033934673649e+01,1.263510129045654518e+00
3.789250183350335588e-01,-2.510846103481803127e+01,2.711592946523921910e+00,-4.364619197681022911e+01,1.258288613834119829e+00
3.853474762729154901e-01,-2.510945378566742647e+01,2.704396373228824313e+00,-4.350323852529305668e+01,1.253068291812504675e+00
3.917699342107973659e-01,-2.511047261217690618e+01,2.697202129160295669e+00,-4.336274737131279977e+01,1.247849233479945585e+00
3.981923921486792972e-01,-2.511151666737325883e+01,2.690010702747132054e+00,-4.322463992017826229e+01,1.242631507452769846e+00
4.046148500865612285e-01,-2.511258386350965566e+01,2.682822534170477891e+00,-4.308884133818662576e+01,1.237415180654048097e+00
4.110373080244431598e-01,-2.511367105503253327e+01,2.675637966031207071e+00,-4.295528031497072163e+01,1.232200318499792724e+00
4.174597659623250911e-01,-2.511477436925444451e+01,2.668457202863158351e+00,-4.282388884406002205e+01,1.226986985078638570e+00
4.238822239002069669e-01,-2.511588965412315488e+01,2.661280285272291657e+00,-4.269460201993501869e+01,1.221775243319813020e+00
4.303046818380889538e-01,-2.511701299558369627e+01,2.654107083136416634e+00,-4.256735785005161432e+01,1.216565155142790733e+00
4.367271397759708296e-01,-2.511814124445194096e+01,2.646937310304302571e+00,-4.244209708049042717e+01,1.211356781581399034e+00
4.431495977138527609e-01,-2.511927248633888965e+01,2.639770560765091645e+00,-4.231876303404709461e+01,1.206150182875348698e+00
4.495720556517346922e-01,-2.512040638932739967e+01,2.632606363569878205e+00,-4.219730145972295077e+01,1.200945418523257313e+00
4.559945135896166235e-01,-2.512154437339145829e+01,2.625444251179098298e+00,-4.207766039270093472e+01,1.195742547293072722e+00
4.624169715274985548e-01,-2.512268956264563613e+01,2.618283833705034702e+00,-4.195979002399825220e+01,1.190541627188227647e+00
4.688394294653804861e-01,-2.512384650513352469e+01,2.611124870026690026e+00,-4.184364257907628826e+01,1.185342715370607536e+00
4.752618874032623619e-01,-2.512502067281229046e+01,2.603967326230155699e+00,-4.172917220475876832e+01,1.180145868044151225e+00
4.816843453411443488e-01,-2.512621778371036640e+01,2.596811412438380096e+00,-4.161633486386370606e+01,1.174951140305335429e+00
4.881068032790262801e-01,-2.512744301548789494e+01,2.589657590888790217e+00,-4.150508823699466632e+01,1.169758585968529108e+00
4.945292612169081559e-01,-2.512870020123763837e+01,2.582506551007758944e+00,-4.139539163096539198e+01,1.164568257375032445e+00
5.009517191547900872e-01,-2.512999111102255512e+01,2.575359150987885037e+00,-4.128720589335326707e+01,1.159380205194287861e+00
5.073741770926719630e-01,-2.513131492373376119e+01,2.568216329636804574e+00,-4.118049333269435408e+01,1.154194478224239928e+00
5.137966350305539498e-01,-2.513266798182238304e+01,2.561078996569301491e+00,-4.107521764385131746e+01,1.149011123195155193e+00
5.202190929684359366e-01,-2.513404389615185863e+01,2.553947912628617090e+00,-4.097134383810866609e+01,1.143830184577631082e+00
5.266415509063178124e-01,-2.513543403106262275e+01,2.546823575208568613e+00,-4.086883817758106829e+01,1.138651704391337782e+00
5.330640088441996882e-01,-2.513682835381173319e+01,2.539706124417799860e+00,-4.076766811356206688e+01,1.133475722006753283e+00
5.394864667820815640e-01,-2.513821658243445256e+01,2.532595285411140651e+00,-4.066780222849352810e+01,1.128302273928253774e+00
5.459089247199635508e-01,-2.513958951755472526e+01,2.525490359521414430e+00,-4.056921018129966683e+01,1.123131393544009038e+00
5.523313826578455377e-01,-2.514094040319779211e+01,2.518390272101290961e+00,-4.047186265590096355e+01,1.117963110826702966e+00
5.587538405957274135e-01,-2.514226613564748192e+01,2.511293678537485974e+00,-4.037573131279910399e+01,1.112797451969557372e+00
5.651762985336094003e-01,-2.514356813340061336e+01,2.504199122306512759e+00,-4.028078874369880680e+01,1.107634438944767874e+00
5.715987564714911651e-01,-2.514485269913894427e+01,2.497105231018834193e+00,-4.018700842920043215e+01,1.102474088976261424e+00
5.780212144093731519e-01,-2.514613074770194601e+01,2.490010929134212958e+00,-4.009436469965207550e+01,1.097316413925492951e+00
5.844436723472551387e-01,-2.514741684056410875e+01,2.482915640481773600e+00,-4.000283269928648622e+01,1.092161419597343697e+00
5.908661302851370145e-01,-2.514872755223948175e+01,2.475819450882126738e+00,-3.991238835378261030e+01,1.087009104982399110e+00
5.972885882230190013e-01,-2.515007928911785129e+01,2.468723201848685100e+00,-3.982300834138140999e+01,1.081859461461154526e+00
6.037110461609008771e-01,-2.515148577564859877e+01,2.461628491016710996e+00,-3.973467006765224596e+01,1.076712472004078824e+00
6.101335040987827529e-01,-2.515295550406272440e+01,2.454537563653159893e+00,-3.964735164395273159e+01,1.071568110408054553e+00
6.165559620366647398e-01,-2.515448949913693610e+01,2.447453091874226772e+00,-3.956103186955795081e+01,1.066426340613834123e+00
