Frequency (GHz), G_r Theta Pol: Theta=90.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=90.0 & Phi=180.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=180.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=45.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=45.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location)
0.000000000000000000e+00,-8.849553321185219090e+01,1.570796326794896780e+00,-1.977673167894932078e+02,-1.570796326794896558e+00,-8.792957561075753858e+01,1.570796326794896780e+00,-1.928356778835659497e+02,1.570796326794896780e+00,-1.125646909921968444e+02,-1.570796326794896558e+00,-1.890549492157300904e+02,1.570796326794896780e+00
3.211228968940962186e-03,-8.853755175294159585e+01,1.558613843536445387e+00,-1.973154247739899461e+02,-1.437969486394840013e+00,-8.796893440938791286e+01,1.558619047700573246e+00,-1.927632178907194032e+02,1.579529528847645858e+00,-1.121041946295251535e+02,-1.573667562108957529e+00,-1.893828980897462202e+02,1.313265681701571763e+00
6.422457937881924372e-03,-8.866483733955611513e+01,1.546067848107296250e+00,-1.962891080306837637e+02,-1.374194186678687979e+00,-8.808808898301774093e+01,1.546101797419398016e+00,-1.925723705884978187e+02,1.579106763066525199e+00,-1.108526439013832885e+02,-1.575616036590376412e+00,-1.904185987373248850e+02,1.061398131453198834e+00
9.633686906822886559e-03,-8.888118655275687274e+01,1.532762393399583978e+00,-1.952195052465543483e+02,-1.388116935663123552e+00,-8.829035982741972077e+01,1.532876515275411355e+00,-1.923278946490140129e+02,1.564209457919653268e+00,-1.090979748205100748e+02,-1.576456415573589176e+00,-1.923542566017686966e+02,8.254352361688223061e-01
1.284491587576384874e-02,-8.919330617263022987e+01,1.518228325521688848e+00,-1.944058382576290569e+02,-1.456493976072606555e+00,-8.858158568439073122e+01,1.518512080106737105e+00,-1.921025075364753150e+02,1.534582804623934704e+00,-1.071154407271751268e+02,-1.576562215306604342e+00,-1.956977111881717235e+02,6.354756769164509045e-01
1.605614484470481093e-02,-8.961147099431366314e+01,1.501863064543176973e+00,-1.939564398737894919e+02,-1.555028827646922185e+00,-8.897064817105973589e+01,1.502463521087423981e+00,-1.919537859354607008e+02,1.493900336515247673e+00,-1.050893454042659556e+02,-1.576378167698731403e+00,-2.019687920927701441e+02,6.541663095917522597e-01
1.926737381364577312e-02,-9.015065102292810195e+01,1.482832435185219566e+00,-1.939011410920513185e+02,-1.664426404398005488e+00,-8.947036060806949820e+01,1.483991068807894331e+00,-1.919148831314302299e+02,1.448005944941126000e+00,-1.031194444935139529e+02,-1.576197177307302022e+00,-2.060081917087656223e+02,1.991665624767993803e+00
2.247860278258673530e-02,-9.083239448457388221e+01,1.459898698381350890e+00,-1.942425532685368239e+02,-1.767830637892844559e+00,-9.009892849610297105e+01,1.462022316954319390e+00,-1.919931282099165060e+02,1.403542297262377003e+00,-1.012510450447713595e+02,-1.576152169074329867e+00,-1.978166642551078951e+02,2.368536642411924298e+00
2.568983175152769749e-02,-9.168799473398055966e+01,1.431097319571361437e+00,-1.949614996557888276e+02,-1.846999541219856322e+00,-9.088235151849205806e+01,1.434902060116578726e+00,-1.921701553747817286e+02,1.366939096765509509e+00,-9.949963646381456783e+01,-1.576268585430569136e+00,-1.935353016017786558e+02,2.225657804526978811e+00
2.890106072046865968e-02,-9.276392691252024747e+01,1.393078078139722731e+00,-1.959808124786965493e+02,-1.879047891707534834e+00,-9.185843223373132105e+01,1.399904002703701078e+00,-1.924019969039991338e+02,1.343296485987492961e+00,-9.786581676230474613e+01,-1.576514051268109506e+00,-1.910985637758506073e+02,2.003002945207525975e+00
3.211228968940962186e-02,-9.413134252900677268e+01,1.339623358351592408e+00,-1.970686040565775556e+02,-1.838612966818596206e+00,-9.308355776479977806e+01,1.352191075612036775e+00,-1.926229505479165027e+02,1.334813390241699649e+00,-9.634333899558794201e+01,-1.576833756059557334e+00,-1.897168357998504291e+02,1.756179999484129173e+00
