Frequency (GHz), S1:1 (dB), S1:1 (rad)
0.000000000000000000e+00,-1.871449621201284902e-05,0.000000000000000000e+00
3.211228968940962186e-03,-1.870147475832394492e-05,-7.219646271949954446e-04
6.422457937881924372e-03,-1.865789574977758921e-05,-1.443927526708078642e-03
9.633686906822886559e-03,-1.856839630942348600e-05,-2.165887015485385998e-03
1.284491587576384874e-02,-1.840300651528326714e-05,-2.887841933699313111e-03
1.605614484470481093e-02,-1.811570299313635133e-05,-3.609792721988826919e-03
1.926737381364577312e-02,-1.764989934583610775e-05,-4.331742842947610556e-03
2.247860278258673530e-02,-1.695324967083174032e-05,-5.053699916348303699e-03
2.568983175152769749e-02,-1.599995979884631401e-05,-5.775675794371035177e-03
2.890106072046865968e-02,-1.481428806473620767e-05,-6.497685002081096152e-03
3.211228968940962186e-02,-1.348602295915189089e-05,-7.219741487388119452e-03
3.532351865835058752e-02,-1.216899798600923094e-05,-7.941854306341937855e-03
3.853474762729154623e-02,-1.105765281654484798e-05,-8.664023468605551795e-03
4.174597659623250495e-02,-1.034342668286630120e-05,-9.386237435160354331e-03
4.495720556517347061e-02,-1.016033993189306162e-05,-1.010847353552740517e-02
4.816843453411443626e-02,-1.053486563651912955e-05,-1.083070185257927268e-02
5.137966350305539498e-02,-1.135679292405352868e-05,-1.155289208347570068e-02
5.459089247199635370e-02,-1.238405533920892537e-05,-1.227502183444592089e-02
5.780212144093731935e-02,-1.328593822810951999e-05,-1.299708409692729508e-02
6.101335040987828501e-02,-1.371786312551726391e-05,-1.371909156255841922e-02
6.422457937881924372e-02,-1.341037873035177458e-05,-1.444107607127010674e-02
6.743580834776019550e-02,-1.224851026289057370e-05,-1.516308273185583769e-02
7.064703731670117504e-02,-1.031771487583471982e-05,-1.588515978243332932e-02
7.385826628564212681e-02,-7.899995665089528429e-06,-1.660734662297994393e-02
7.706949525458309247e-02,-5.416672966710479943e-06,-1.732966321870626700e-02
8.028072422352404425e-02,-3.329450458301265604e-06,-1.805210395562782677e-02
8.349195319246500990e-02,-2.024349605337630815e-06,-1.877463799197528690e-02
8.670318216140597556e-02,-1.709773476375772244e-06,-1.949721643293605630e-02
8.991441113034694121e-02,-2.357970426593249800e-06,-2.021978472575150509e-02
9.312564009928789299e-02,-3.708527011878947017e-06,-2.094229708576503951e-02
