Frequency (GHz), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad)
3.853474762729154623e-02,-7.156758316391493224e+01,1.467885924400332831e+00,-7.159721757018508015e+01,1.550317681964268335e+00
4.495720556517347061e-02,-7.023645189088807683e+01,1.476294468092540946e+00,-7.025824985635738074e+01,1.546991413449795294e+00
5.137966350305539498e-02,-6.908166714982330348e+01,1.481772342078632843e+00,-6.909837439678301507e+01,1.543655114823453633e+00
5.780212144093731935e-02,-6.806206649504827055e+01,1.485291542747550375e+00,-6.807528273937474239e+01,1.540312125551762223e+00
6.422457937881924372e-02,-6.714936734243795513e+01,1.487437326848648267e+00,-6.716008698448318626e+01,1.536964448839734709e+00
7.064703731670117504e-02,-6.632330927087919292e+01,1.488583039399239194e+00,-6.633218257632400139e+01,1.533613359022036882e+00
7.706949525458309247e-02,-6.556888600806919953e+01,1.488978017590238956e+00,-6.557635587696498192e+01,1.530259705258632419e+00
8.349195319246500990e-02,-6.487467513649684747e+01,1.488795110169357283e+00,-6.488105348444535991e+01,1.526904075063412858e+00
8.991441113034694121e-02,-6.423178203907394845e+01,1.488157909480823493e+00,-6.423729475832007552e+01,1.523546887749364531e+00
9.633686906822887253e-02,-6.363314582496649052e+01,1.487157125978653793e+00,-6.363796043733434260e+01,1.520188450495886023e+00
1.027593270061107900e-01,-6.307306800687386783e+01,1.485860839262173716e+00,-6.307731131519786061e+01,1.516828993391032832e+00
1.091817849439927074e-01,-6.254688337317023183e+01,1.484321139701670678e+00,-6.255065309290632314e+01,1.513468692106032742e+00
1.156042428818746387e-01,-6.205072453491980156e+01,1.482578560778930354e+00,-6.205409717245850487e+01,1.510107683011690183e+00
1.220267008197565700e-01,-6.158134989399186310e+01,1.480665114331541243e+00,-6.158438621145303671e+01,1.506746073521196605e+00
1.284491587576384874e-01,-6.113601559036784749e+01,1.478606416789512767e+00,-6.113876447546648762e+01,1.503383949330054925e+00
1.348716166955203910e-01,-6.071237859901393819e+01,1.476423208944603216e+00,-6.071487985506030327e+01,1.500021379587376913e+00
1.412940746334023501e-01,-6.030842230883842348e+01,1.474132461977002873e+00,-6.031070869766034548e+01,1.496658420656725053e+00
1.477165325712842536e-01,-5.992239860408388807e+01,1.471748195528851166e+00,-5.992449736216683931e+01,1.493295118895751283e+00
1.541389905091661849e-01,-5.955278224445659419e+01,1.469282091730425677e+00,-5.955471622144091981e+01,1.489931512740819253e+00
1.605614484470480885e-01,-5.919823453816994174e+01,1.466743962252436306e+00,-5.920002306080279197e+01,1.486567634291220186e+00
1.669839063849300198e-01,-5.885757412524760923e+01,1.464142107899327527e+00,-5.885923365944931618e+01,1.483203510527732805e+00
1.734063643228119511e-01,-5.852975326377890752e+01,1.461483598546159168e+00,-5.853129792693521694e+01,1.479839164260348339e+00
1.798288222606938824e-01,-5.821383842022318333e+01,1.458774493272134709e+00,-5.821528038164798602e+01,1.476474614872902658e+00
1.862512801985757860e-01,-5.790899425890157204e+01,1.456020015062558182e+00,-5.791034405643402039e+01,1.473109878913666515e+00
1.926737381364577451e-01,-5.761447034029018255e+01,1.453224690617070491e+00,-5.761573713380555972e+01,1.469744970567862685e+00
1.990961960743396486e-01,-5.732958999605717310e+01,1.450392463085016903e+00,-5.733078177338615689e+01,1.466379902038791982e+00
2.055186540122215799e-01,-5.705374096696316144e+01,1.447526783599976996e+00,-5.705486471375287749e+01,1.463014683857567944e+00
2.119411119501034835e-01,-5.678636747885904867e+01,1.444630686071843417e+00,-5.678742932089409123e+01,1.459649325136612052e+00
2.183635698879854148e-01,-5.652696349985235713e+01,1.441706848658210971e+00,-5.652796882403898593e+01,1.456283833778470704e+00
2.247860278258673461e-01,-5.627506697380842127e+01,1.438757644568536165e+00,-5.627602053224818945e+01,1.452918216648880767e+00
2.312084857637492774e-01,-5.603025486568892433e+01,1.435785184278801419e+00,-5.603116086591899148e+01,1.449552479721005538e+00
2.376309437016311810e-01,-5.579213888570249935e+01,1.432791350797959051e+00,-5.579300106918274338e+01,1.446186628196269641e+00
2.440534016395131400e-01,-5.556036178397960157e+01,1.429777829292445679e+00,-5.556118349420251690e+01,1.442820666606072333e+00
2.504758595773950436e-01,-5.533459412706488934e+01,1.426746132114527166e+00,-5.533537836820579514e+01,1.439454598897779158e+00
2.568983175152769749e-01,-5.511453148312724437e+01,1.423697620074856118e+00,-5.511528096989609082e+01,1.436088428507722892e+00
2.633207754531589062e-01,-5.489989195531173749e+01,1.420633520635584457e+00,-5.490060915457139856e+01,1.432722158423406000e+00
2.697432333910407820e-01,-5.469041401277770120e+01,1.417554943567828518e+00,-5.469110117751620237e+01,1.429355791236700091e+00
2.761656913289227688e-01,-5.448585457719880765e+01,1.414462894509276314e+00,-5.448651377354318015e+01,1.425989329189498500e+00
2.825881492668047001e-01,-5.428598732924459114e+01,1.411358286769355708e+00,-5.428662045734219532e+01,1.422622774213037733e+00
2.890106072046865759e-01,-5.409060120512124570e+01,1.408241951657172475e+00,-5.409121001485553393e+01,1.419256127961883163e+00
2.954330651425685073e-01,-5.389949905786227191e+01,1.405114647548981521e+00,-5.390008516048147413e+01,1.415889391843415446e+00
3.018555230804504386e-01,-5.371249646190612737e+01,1.401977067865381343e+00,-5.371306133870256616e+01,1.412522567043520860e+00
3.082779810183323699e-01,-5.352942064272235712e+01,1.398829848092347783e+00,-5.352996565189051381e+01,1.409155654549062664e+00
3.147004389562143012e-01,-5.335010951595718609e+01,1.395673571953321757e+00,-5.335063589867345968e+01,1.405788655167634627e+00
3.211228968940961770e-01,-5.317441082285115073e+01,1.392508776820629013e+00,-5.317491970946053925e+01,1.402421569545005964e+00
3.275453548319781638e-01,-5.300218135060199387e+01,1.389335958442272645e+00,-5.300267376757670945e+01,1.399054398180603176e+00
3.339678127698600396e-01,-5.283328622795842477e+01,1.386155575053213074e+00,-5.283376310603120629e+01,1.395687141441325663e+00
3.403902707077419709e-01,-5.266759828768093854e+01,1.382968050937280813e+00,-5.266806047127299450e+01,1.392319799573936034e+00
3.468127286456239022e-01,-5.250499748863007454e+01,1.379773779505357290e+00,-5.250544574641865125e+01,1.388952372716241834e+00
3.532351865835058335e-01,-5.234537039117378043e+01,1.376573125956042754e+00,-5.234580542740316389e+01,1.385584860907245197e+00
3.596576445213877649e-01,-5.218860968037432002e+01,1.373366429585447968e+00,-5.218903214633065346e+01,1.382217264096427423e+00
3.660801024592696962e-01,-5.203461373204800111e+01,1.370154005811849762e+00,-5.203502423701131363e+01,1.378849582152319675e+00
3.725025603971515720e-01,-5.188328621731397305e+01,1.366936147978042415e+00,-5.188368533828111140e+01,1.375481814870501029e+00
3.789250183350335588e-01,-5.173453574168559044e+01,1.363713128988724987e+00,-5.173492403122835981e+01,1.372113961981173080e+00
3.853474762729154901e-01,-5.158827551513176246e+01,1.360485202832181217e+00,-5.158865350690695806e+01,1.368746023156459435e+00
3.917699342107973659e-01,-5.144442304986463199e+01,1.357252606025044717e+00,-5.144479126151225756e+01,1.365377998017585748e+00
3.981923921486792972e-01,-5.130289988291196579e+01,1.354015559006747083e+00,-5.130325881633966389e+01,1.362009886142114157e+00
4.046148500865612285e-01,-5.116363132081900034e+01,1.350774267497206083e+00,-5.116398146014633141e+01,1.358641687071401760e+00
4.110373080244431598e-01,-5.102654620410541497e+01,1.347528923818500424e+00,-5.102688801179871803e+01,1.355273400318482091e+00
4.174597659623250911e-01,-5.089157668938182155e+01,1.344279708169858534e+00,-5.089191060131852140e+01,1.351905025376561209e+00
4.238822239002069669e-01,-5.075865804730784703e+01,1.341026789836355926e+00,-5.075898446764139038e+01,1.348536561728335359e+00
4.303046818380889538e-01,-5.062772847484676930e+01,1.337770328306190804e+00,-5.062804777158002878e+01,1.345168008856344244e+00
4.367271397759708296e-01,-5.049872892053285511e+01,1.334510474269918312e+00,-5.049904142264005458e+01,1.341799366254568193e+00
4.431495977138527609e-01,-5.037160292170865716e+01,1.331247370477792735e+00,-5.037190891847501462e+01,1.338430633441491491e+00
4.495720556517346922e-01,-5.024629645290096391e+01,1.327981152438218793e+00,-5.024659619588933879e+01,1.335061809974845026e+00
4.559945135896166235e-01,-5.012275778467600418e+01,1.324711948950558105e+00,-5.012305149240656021e+01,1.331692895468255866e+00
4.624169715274985548e-01,-5.000093735244070103e+01,1.321439882478132599e+00,-5.000122521751648463e+01,1.328323889610027786e+00
4.688394294653804861e-01,-4.988078763473148314e+01,1.318165069380796250e+00,-4.988106983280086837e+01,1.324954792184296348e+00
4.752618874032623619e-01,-4.976226304055630578e+01,1.314887620039307592e+00,-4.976253974021355475e+01,1.321585603094815431e+00
4.816843453411443488e-01,-4.964531980533180899e+01,1.311607638914297436e+00,-4.964559117785952225e+01,1.318216322391658091e+00
4.881068032790262801e-01,-4.952991589489609225e+01,1.308325224589367508e+00,-4.953018212267822662e+01,1.314846950301149509e+00
4.945292612169081559e-01,-4.941601091699013892e+01,1.305040469849616303e+00,-4.941627219949135963e+01,1.311477487259391284e+00
5.009517191547900872e-01,-4.930356603950406935e+01,1.301753461842964477e+00,-4.930382259592409611e+01,1.308107933949789192e+00
5.073741770926719630e-01,-4.919254391469588938e+01,1.298464282361962541e+00,-4.919279598275291931e+01,1.304738291345055146e+00
5.137966350305539498e-01,-4.908290860852824267e+01,1.295173008268912573e+00,-4.908315643927245731e+01,1.301368560754223580e+00
5.202190929684359366e-01,-4.897462553424865206e+01,1.291879712068398689e+00,-4.897486938330922612e+01,1.297998743875303340e+00
