Frequency (GHz), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad)
3.853474803564642392e-02,-7.194839540565511982e+01,1.464474140037083760e+00,-7.197870099788842424e+01,1.547115031351774750e+00
4.495720604158749689e-02,-7.061778303989171945e+01,1.472491718751478773e+00,-7.063972647836443741e+01,1.543341859790241744e+00
5.137966404752856292e-02,-6.946327144822602406e+01,1.477556578332169135e+00,-6.947984518119545783e+01,1.539548633547026979e+00
5.780212205346963589e-02,-6.844380170639966821e+01,1.480646387556923349e+00,-6.845674806762073672e+01,1.535742033349451585e+00
6.422458005941070192e-02,-6.753114822281476393e+01,1.482350181235081443e+00,-6.754154692889729006e+01,1.531926067112070911e+00
7.064703806535178876e-02,-6.670508469805393759e+01,1.483043966267808322e+00,-6.671363703377591037e+01,1.528103284856321631e+00
7.706949607129284785e-02,-6.595062660028278856e+01,1.482979067504355486e+00,-6.595780463865638410e+01,1.524275386167381896e+00
8.349195407723390694e-02,-6.525636592717231110e+01,1.482329898067991758e+00,-6.526249627480598292e+01,1.520443547285279529e+00
8.991441208317499378e-02,-6.461341776934970937e+01,1.481221333894240821e+00,-6.461873125785768934e+01,1.516608608013714443e+00
9.633687008911606675e-02,-6.401472769049989608e+01,1.479745168249280152e+00,-6.401939029665987846e+01,1.512771183865215585e+00
1.027593280950571258e-01,-6.345460127924252447e+01,1.477970406467057574e+00,-6.345873416395916422e+01,1.508931736151810199e+00
1.091817861009981988e-01,-6.292837559883644616e+01,1.475949930457113313e+00,-6.293206854566254549e+01,1.505090617337770276e+00
1.156042441069392718e-01,-6.243218415633456431e+01,1.473724942599438092e+00,-6.243550483265134687e+01,1.501248101274723190e+00
1.220267021128803447e-01,-6.196278520889747909e+01,1.471328007185210396e+00,-6.196578567415774330e+01,1.497404403888754842e+00
1.284491601188214038e-01,-6.151743400024605535e+01,1.468785181264824713e+00,-6.152015532933974384e+01,1.493559697661279273e+00
1.348716181247624768e-01,-6.109378611282608063e+01,1.466117539754259180e+00,-6.109626168374701649e+01,1.489714121972391503e+00
1.412940761307035775e-01,-6.068982327281414513e+01,1.463342288802846891e+00,-6.069208108082840170e+01,1.485867790623169427e+00
1.477165341366446227e-01,-6.030379562754774980e+01,1.460473593730796438e+00,-6.030585987628125366e+01,1.482020797395494416e+00
1.541389921425856957e-01,-5.993417628870204084e+01,1.457523205394372079e+00,-5.993606844035259940e+01,1.478173220221781659e+00
1.605614501485267687e-01,-5.957962513218421918e+01,1.454500941590199936e+00,-5.958136455620311978e+01,1.474325124353856209e+00
1.669839081544678139e-01,-5.923895966991096884e+01,1.451415062270078105e+00,-5.924056400122662325e+01,1.470476564800452302e+00
1.734063661604089146e-01,-5.891113138573796704e+01,1.448272565464230999e+00,-5.891261668345868685e+01,1.466627588222980005e+00
1.798288241663499876e-01,-5.859520633831298397e+01,1.445079422810603420e+00,-5.859658711999703939e+01,1.462778234425022195e+00
1.862512821722910328e-01,-5.829034912978830363e+01,1.441840768154230457e+00,-5.829163834258677923e+01,1.458928537533656700e+00
1.926737401782321335e-01,-5.799580955570110774e+01,1.438561048978132639e+00,-5.799701853279618291e+01,1.455078526944548978e+00
1.990961981841732065e-01,-5.771091141113225120e+01,1.435244147906786782e+00,-5.771204984943857141e+01,1.451228228084183280e+00
2.055186561901142517e-01,-5.743504304734626942e+01,1.431893479814953629e+00,-5.743611903039649036e+01,1.447377663029260297e+00
2.119411141960553246e-01,-5.716764936250974216e+01,1.428512068922365597e+00,-5.716866944106578075e+01,1.443526851013578582e+00
2.183635722019963976e-01,-5.690822497755095810e+01,1.425102609476935012e+00,-5.690919431017479724e+01,1.439675808845578331e+00
2.247860302079374706e-01,-5.665630839933999141e+01,1.421667513094904356e+00,-5.665723094636710044e+01,1.435824551254420767e+00
2.312084882138785435e-01,-5.641147701221177613e+01,1.418208945440778468e+00,-5.641235576970088061e+01,1.431973091178499358e+00
2.376309462198196165e-01,-5.617334276845756591e+01,1.414728854624779819e+00,-5.617418002404174615e+01,1.428121440007267928e+00
2.440534042257606895e-01,-5.594154847106843675e+01,1.411228993423633282e+00,-5.594234606135686505e+01,1.424269607784974800e+00
