Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
1.926737381364577312e-02,-2.698119348099677595e+01,1.455285772130077149e+00,-8.768490060520427523e-03,-1.159855822823142313e-01,-6.690559898905914338e+01,1.373393696438330869e+00,-6.701747603684913202e+01,1.536516165004201850e+00
2.247860278258673530e-02,-2.565257883101108405e+01,1.436118015288557537e+00,-1.189068437336026664e-02,-1.352815518398609862e-01,-6.559131501961329036e+01,1.390583784334274542e+00,-6.567482929606087794e+01,1.530783276328872011e+00
2.568983175152769749e-02,-2.450463280281199019e+01,1.416960580441943174e+00,-1.547753555513516760e-02,-1.545614900300025518e-01,-6.444588767094464288e+01,1.402120345347715347e+00,-6.451071133501962152e+01,1.525041564893971691e+00
2.890106072046865968e-02,-2.349504335378130193e+01,1.397817543212046321e+00,-1.952240864586693436e-02,-1.738232106475489647e-01,-6.343101378547064684e+01,1.409854771594618361e+00,-6.348281622495107257e+01,1.519289782750720352e+00
3.211228968940962186e-02,-2.259491773982549034e+01,1.378692186374111284e+00,-2.401784011088939005e-02,-1.930645658318493607e-01,-6.251993008925641959e+01,1.414910557113945089e+00,-6.256225854998147895e+01,1.513526696706034791e+00
3.532351865835058752e-02,-2.178364566042012740e+01,1.359587338582454841e+00,-2.895555815377791331e-02,-2.122834509308200446e-01,-6.169324168836599398e+01,1.418007789230782967e+00,-6.172843633710969868e+01,1.507751087717657201e+00
3.853474762729154623e-02,-2.104600700255049972e+01,1.340505541617295515e+00,-3.432650499145935979e-02,-2.314778089672523687e-01,-6.093646393105867531e+01,1.419628574179466751e+00,-6.096613868695692418e+01,1.501961751158812142e+00
4.174597659623250495e-02,-2.037044125464141686e+01,1.321449138568617787e+00,-4.012086095136724317e-02,-2.506456348162056647e-01,-6.023850412232463469e+01,1.420107362477698087e+00,-6.026381511450970407e+01,1.496157497440510076e+00
4.495720556517347061e-02,-1.974796009567124599e+01,1.302420322575958300e+00,-4.632807024160918996e-02,-2.697849791345791615e-01,-5.959068517031979439e+01,1.419683112262879687e+00,-5.961248808143668754e+01,1.490337152763695272e+00
4.816843453411443626e-02,-1.917143606180674809e+01,1.283421164623284261e+00,-5.293686823917186784e-02,-2.888939520582853859e-01,-5.898609561734165396e+01,1.418530853363488831e+00,-5.900504161245930135e+01,1.484499559887665132e+00
