Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
1.926737381364577312e-02,-2.698142237982617431e+01,1.455290398847040700e+00,-8.770308382541419645e-03,-1.159867854284070549e-01,-1.319090928479951863e+01,3.058492020014276669e+00,-5.747676136177828710e+01,1.501737881248207396e+00
2.247860278258673530e-02,-2.565279331818270236e+01,1.436121504719082953e+00,-1.189227554962327300e-02,-1.352828628998529459e-01,-1.317189279458119699e+01,3.057915404588398722e+00,-5.612152883394904990e+01,1.498449507618290655e+00
2.568983175152769749e-02,-2.450483831709426497e+01,1.416963150877211808e+00,-1.547888067306034052e-02,-1.545629239113767150e-01,-1.315133047524015808e+01,3.055252535237278799e+00,-5.494942322723013461e+01,1.494191646204461099e+00
2.890106072046865968e-02,-2.349524312952901184e+01,1.397819341588635744e+00,-1.952349345234045963e-02,-1.738247783401624391e-01,-1.313034899290873803e+01,3.051080519655249290e+00,-5.391621909233314369e+01,1.489288715151416254e+00
3.211228968940962186e-02,-2.259511385195664701e+01,1.378693317863321832e+00,-2.401865446859768882e-02,-1.930662758572478932e-01,-1.310980531491567547e+01,3.045773522034366021e+00,-5.299201900577990898e+01,1.483933037779064712e+00
3.532351865835058752e-02,-2.178383952486714747e+01,1.359587882805467496e+00,-2.895609529193509182e-02,-2.122853101079992533e-01,-1.309034387950239697e+01,3.039599441238908017e+00,-5.215564531198421605e+01,1.478245642438104301e+00
3.853474762729154623e-02,-2.104619963501651725e+01,1.340505562090023028e+00,-3.432676062539747469e-02,-2.314798228542785663e-01,-1.307241406112770399e+01,3.032765705608893914e+00,-5.139153950138939564e+01,1.472306262760514128e+00
4.174597659623250495e-02,-2.037063341234744485e+01,1.321448688420907569e+00,-4.012083235456557345e-02,-2.506478079935623438e-01,-1.305627823900523055e+01,3.025441514731486592e+00,-5.068793099741075991e+01,1.466169351097160511e+00
4.495720556517347061e-02,-1.974815235854814688e+01,1.302419448070373686e+00,-4.632775535510309795e-02,-2.697873154113963334e-01,-1.304202175062498270e+01,3.017768455143513773e+00,-5.003569757134866336e+01,1.459873179267142662e+00
4.816843453411443626e-02,-1.917162888076272154e+01,1.283419907295531903e+00,-5.293626489740052565e-02,-2.888964546415954127e-01,-1.302956882218204626e+01,3.009865216522388920e+00,-4.942762531184654051e+01,1.453445283550107048e+00
5.137966350305539498e-02,-1.863531499120874813e+01,1.264452027544043178e+00,-5.993441547860674234e-02,-3.079733983181170420e-01,-1.301870543361752830e+01,3.001829393101905552e+00,-4.885791073397315643e+01,1.446905865405189617e+00
5.459089247199635370e-02,-1.813450718849059484e+01,1.245517674177883505e+00,-6.730961090882935094e-02,-3.270163854085919031e-01,-1.300910849653770995e+01,2.993738037309334299e+00,-4.832181560849736002e+01,1.440269993776393198e+00
5.780212144093731935e-02,-1.766530728395677841e+01,1.226618621349962801e+00,-7.504863548003860851e-02,-3.460237242239090349e-01,-1.300037980680356497e+01,2.985647943993746001e+00,-4.781542143255529709e+01,1.433549075494229719e+00
6.101335040987828501e-02,-1.722444799164502527e+01,1.207756554563408580e+00,-8.313768605357282904e-02,-3.649937952017199838e-01,-1.299208264989346517e+01,2.977596246969085314e+00,-4.733545083438091439e+01,1.426751862191082854e+00
6.422457937881924372e-02,-1.680916331805858022e+01,1.188933071832597221e+00,-9.156240491406678061e-02,-3.839250534644320645e-01,-1.298377857924752909e+01,2.969601652639181744e+00,-4.687913509855454919e+01,1.419885154016423456e+00
6.743580834776019550e-02,-1.641709061812024117e+01,1.170149684013654046e+00,-1.003079132531013162e-01,-4.028160311542453575e-01,-1.297506174412991697e+01,2.961666447528900292e+00,-4.644411419054553392e+01,1.412954299143820647e+00
7.064703731670117504e-02,-1.604619546714287992e+01,1.151407814662141149e+00,-1.093588451634529279e-01,-4.216653395490528311e-01,-1.296558823679239403e+01,2.953779266549490856e+00,-4.602836014379933260e+01,1.405963552173852937e+00
7.385826628564212681e-02,-1.569471325633766234e+01,1.132708799646302777e+00,-1.186993820426510693e-01,-4.404716709635486671e-01,-1.295509827827461002e+01,2.945918486492656196e+00,-4.563011754492599437e+01,1.398916332922157224e+00
7.706949525458309247e-02,-1.536110323672646771e+01,1.114053886662190740e+00,-1.283132873209263669e-01,-4.592338004397564233e-01,-1.294342965925489075e+01,2.938056015150835254e+00,-4.524785673650101359e+01,1.391815413725235429e+00
8.028072422352404425e-02,-1.504401195936334368e+01,1.095444234744057388e+00,-1.381839414416789202e-01,-4.779505872304604108e-01,-1.293052164753863131e+01,2.930161185605518082e+00,-4.488023661906167661e+01,1.384663054934544224e+00
8.349195319246500990e-02,-1.474224389859033657e+01,1.076880913828625941e+00,-1.482943770309282927e-01,-4.966209760778984572e-01,-1.291640947827718833e+01,2.922204442347355435e+00,-4.452607479547816638e+01,1.377461102762836287e+00
8.670318216140597556e-02,-1.445473763033167991e+01,1.058364904409196061e+00,-1.586273141950795273e-01,-5.152439982887357939e-01,-1.290121044297315933e+01,2.914160522242140949e+00,-4.418432339919391438e+01,1.370211059949518750e+00
8.991441113034694121e-02,-1.418054635225468729e+01,1.039897097300787276e+00,-1.691651958829700209e-01,-5.338187726050211968e-01,-1.288510337226622227e+01,2.906010885177059411e+00,-4.385404936984364355e+01,1.362914137132988257e+00
9.312564009928789299e-02,-1.391882183088563352e+01,1.021478293528202075e+00,-1.798902232393116696e-01,-5.523445058697911136e-01,-1.286830386983263530e+01,2.897745227978509863e+00,-4.353441824178123909e+01,1.355571290936378404e+00
9.633686906822887253e-02,-1.366880107806517763e+01,1.003109204343242356e+00,-1.907843908628516494e-01,-5.708204934854338441e-01,-1.285103794300558100e+01,2.889362009219639482e+00,-4.322468073022828605e+01,1.348183253331979303e+00
9.954809803716982430e-02,-1.342979521937491683e+01,9.847904513741068122e-01,-2.018295218658608392e-01,-5.892461196630681686e-01,-1.283351667688447861e+01,2.880868009367405502e+00,-4.292416156101026559e+01,1.340750555694308899e+00
1.027593270061107900e-01,-1.320118013667543266e+01,9.665225669082139204e-01,-2.130073026138481762e-01,-6.076208574621075886e-01,-1.281591433919570200e+01,2.872277039294724776e+00,-4.263225011015222776e+01,1.333273549992913587e+00
1.059705559750517417e-01,-1.298238855696166283e+01,9.483059943087670529e-01,-2.242993170078884102e-01,-6.259442686209619744e-01,-1.279835183629519335e+01,2.863607982286156428e+00,-4.234839251065426424e+01,1.325752428765095692e+00
1.091817849439927074e-01,-1.277290332827604225e+01,9.301410885647140026e-01,-2.356870801597249210e-01,-6.442160031823648270e-01,-1.278088683169286988e+01,2.854882405354226105e+00,-4.207208495370461776e+01,1.318187244823309401e+00
1.123930139129336730e-01,-1.257225167604790528e+01,9.120281169730651838e-01,-2.471520713033829864e-01,-6.624357989199902708e-01,-1.276351115229016386e+01,2.846122002870433931e+00,-4.180286796611636646e+01,1.310577931084289771e+00
1.156042428818746387e-01,-1.238000027398576997e+01,8.939672599515566809e-01,-2.586757657891885498e-01,-6.806034805765939222e-01,-1.274615540226101373e+01,2.837346139106273313e+00,-4.154032148890583187e+01,1.302924320457024443e+00
1.188154718508155905e-01,-1.219575099546666941e+01,8.759586119783409064e-01,-2.702396660169739118e-01,-6.987189589275750734e-01,-1.272870003058033106e+01,2.828569737346945168e+00,-4.128406061648676939e+01,1.295226165396550444e+00
1.220267008197565700e-01,-1.201913723639549403e+01,8.580021826538243301e-01,-2.818253311861594335e-01,-7.167822296872448096e-01,-1.271099150112548415e+01,2.819801723573007290e+00,-4.103373188391771009e+01,1.287483156520795813e+00
1.252379297886975218e-01,-1.184982072033466061e+01,8.400978978779303219e-01,-2.934144057698422903e-01,-7.347933722778999810e-01,-1.269286173788641570e+01,2.811044174860922951e+00,-4.078901001239935198e+01,1.279694939594835379e+00
