Frequency (GHz), Wave Refl (dB), Wave Refl (rad), Wave Trans (dB), Wave Trans (rad)
1.464320409837079007e+00,-1.249502012731075862e+00,2.787279387729468816e+00,-3.575801549424507186e+01,-3.101375347030601581e+00
1.473954096743901987e+00,-1.253883296089794985e+00,2.785157752246991691e+00,-3.575501355561485184e+01,-3.095884974580790150e+00
1.483587783650724967e+00,-1.258274718550540960e+00,2.783034816259284838e+00,-3.575140524240097051e+01,-3.090415243035321335e+00
1.493221470557547503e+00,-1.262675648376947901e+00,2.780910643939591864e+00,-3.574723036765556827e+01,-3.084975532963450284e+00
1.502855157464370484e+00,-1.267085204126000342e+00,2.778785235731754177e+00,-3.574256553378729961e+01,-3.079571602121031315e+00
1.512488844371193464e+00,-1.271502584221604115e+00,2.776658523713347648e+00,-3.573750160038016332e+01,-3.074203952860229183e+00
1.522122531278016222e+00,-1.275927364229413330e+00,2.774530387531383813e+00,-3.573211742420892278e+01,-3.068867827390820313e+00
1.531756218184839202e+00,-1.280359673703395540e+00,2.772400685640078688e+00,-3.572645788942521961e+01,-3.063554787599148010e+00
1.541389905091662182e+00,-1.284800202633280763e+00,2.770269292122248039e+00,-3.572052272581669996e+01,-3.058255360576118242e+00
1.551023591998485163e+00,-1.289250039694191496e+00,2.768136127940926450e+00,-3.571426919090895780e+01,-3.052961925383854247e+00
1.560657278905307699e+00,-1.293710394757403348e+00,2.766001177401850697e+00,-3.570762744737193373e+01,-3.047670966290038752e+00
1.570290965812130679e+00,-1.298182291490225460e+00,2.763864485251748881e+00,-3.570052368374236096e+01,-3.042384030349546187e+00
1.579924652718953659e+00,-1.302666322783922803e+00,2.761726135739125620e+00,-3.569290381816743718e+01,-3.037107133247437307e+00
1.589558339625776640e+00,-1.307162540763262548e+00,2.759586220329681705e+00,-3.568475062070136516e+01,-3.031848831296594771e+00
1.599192026532599398e+00,-1.311670511180570431e+00,2.757444804006419226e+00,-3.567608925025754729e+01,-3.026617575166524077e+00
1.608825713439422378e+00,-1.316189512112275750e+00,2.755301900276977189e+00,-3.566697982998601191e+01,-3.021419162916035184e+00
1.618459400346245358e+00,-1.320718814153970744e+00,2.753157462170927161e+00,-3.565749964067200040e+01,-3.016255058805661360e+00
1.628093087253068116e+00,-1.325257956358913081e+00,2.751011391556783092e+00,-3.564772057964169250e+01,-3.011122062241691211e+00
1.637726774159890875e+00,-1.329806935394308498e+00,2.748863563571664059e+00,-3.563768880547844731e+01,-3.006013390676960828e+00
1.647360461066713855e+00,-1.334366253239149369e+00,2.746713858505068551e+00,-3.562741263965990868e+01,-3.000920812921259895e+00
1.656994147973536835e+00,-1.338936812329888593e+00,2.744562191419073205e+00,-3.561686214977189024e+01,-2.995837163546634763e+00
1.666627834880359593e+00,-1.343519692985013725e+00,2.742408530682622025e+00,-3.560598024120272953e+01,-2.990758472249440469e+00
1.676261521787182573e+00,-1.348115882414065325e+00,2.740252900113564039e+00,-3.559470163193581982e+01,-2.985685076996227760e+00
1.685895208694005554e+00,-1.352726037580967766e+00,2.738095364448379421e+00,-3.558297380225389617e+01,-2.980621410678468308e+00
1.695528895600828312e+00,-1.357350352242503444e+00,2.735936002858720961e+00,-3.557077355593528267e+01,-2.975574557958204025e+00
1.705162582507651070e+00,-1.361988565744293167e+00,2.733774878710705014e+00,-3.555811430419396402e+01,-2.970552047845485877e+00
1.714796269414474050e+00,-1.366640107880581212e+00,2.731612014710175895e+00,-3.554504210456065749e+01,-2.965559567250052098e+00
1.724429956321297031e+00,-1.371304333489415939e+00,2.729447380766462317e+00,-3.553162193463544583e+01,-2.960599287544524394e+00
1.734063643228119789e+00,-1.375980774566527343e+00,2.727280897939768245e+00,-3.551791859172021759e+01,-2.955669293143514675e+00
1.743697330134942769e+00,-1.380669333971733082e+00,2.725112456947041295e+00,-3.550397811359519551e+01,-2.950764255769667610e+00
1.753331017041765749e+00,-1.385370363910453317e+00,2.722941945371422090e+00,-3.548981530086736313e+01,-2.945877119204614036e+00
1.762964703948588507e+00,-1.390084608096355590e+00,2.720769275235740636e+00,-3.547541093919385702e+01,-2.941001261819917723e+00
1.772598390855411488e+00,-1.394813027793315729e+00,2.718594402666120846e+00,-3.546071931364507179e+01,-2.936132474452195495e+00
1.782232077762234246e+00,-1.399556566314043238e+00,2.716417333914620258e+00,-3.544568350167644866e+01,-2.931270163131901363e+00
1.791865764669057226e+00,-1.404315923866820803e+00,2.714238116216886709e+00,-3.543025365322473874e+01,-2.926417433352153985e+00
1.801499451575879984e+00,-1.409091410059037042e+00,2.712056816537490533e+00,-3.541440267927843166e+01,-2.921580057297715971e+00
1.811133138482702964e+00,-1.413882916710524462e+00,2.709873494823639373e+00,-3.539813468134154562e+01,-2.916764662222122162e+00
1.820766825389525945e+00,-1.418690016697339296e+00,2.707688179899339076e+00,-3.538148375554274594e+01,-2.911976705296123846e+00
1.830400512296348703e+00,-1.423512156649759941e+00,2.705500855175951624e+00,-3.536450376937014539e+01,-2.907218851023430251e+00
1.840034199203171683e+00,-1.428348883837843308e+00,2.703311458267828371e+00,-3.534725241911392857e+01,-2.902490230360903478e+00
1.849667886109994441e+00,-1.433200038520863195e+00,2.701119894350922923e+00,-3.532977451551104764e+01,-2.897786782503299463e+00
1.859301573016817422e+00,-1.438065854758154405e+00,2.698926058984777665e+00,-3.531208954860477434e+01,-2.893102549108624633e+00
1.868935259923640180e+00,-1.442946941255109028e+00,2.696729863365139312e+00,-3.529418716546076240e+01,-2.888431507784149588e+00
1.878568946830463160e+00,-1.447844150352379566e+00,2.694531254383834451e+00,-3.527603172554793076e+01,-2.883769380177191088e+00
1.888202633737286140e+00,-1.452758376654043282e+00,2.692330223578970116e+00,-3.525757434398598633e+01,-2.879114871530760400e+00
1.897836320644109120e+00,-1.457690347085702331e+00,2.690126802505656833e+00,-3.523876862075609750e+01,-2.874469982317492622e+00
1.907470007550931879e+00,-1.462640465547894175e+00,2.687921046178193940e+00,-3.521958523329651314e+01,-2.869839320051432274e+00
1.917103694457754859e+00,-1.467608757738867675e+00,2.685713009780858584e+00,-3.520002102310497349e+01,-2.865228642222668931e+00
1.926737381364577617e+00,-1.472594930801164104e+00,2.683502725764140173e+00,-3.518009996877072609e+01,-2.860643087832216214e+00
1.936371068271400375e+00,-1.477598527722827182e+00,2.681290188192254842e+00,-3.515986594798167175e+01,-2.856085638122341397e+00
1.946004755178223355e+00,-1.482619128377349549e+00,2.679075348902529186e+00,-3.513936967063219896e+01,-2.851556264757086900e+00
1.955638442085046336e+00,-1.487656535998726159e+00,2.676858126407748895e+00,-3.511865386251474774e+01,-2.847052005019412579e+00
1.965272128991869316e+00,-1.492710893402349415e+00,2.674638424631767819e+00,-3.509774120211657333e+01,-2.842567918438220431e+00
1.974905815898692074e+00,-1.497782695378268025e+00,2.672416155672284965e+00,-3.507662857105636078e+01,-2.838098615417976589e+00
1.984539502805515054e+00,-1.502872695460275132e+00,2.670191259683655449e+00,-3.505528919336433802e+01,-2.833639884370136031e+00
1.994173189712338035e+00,-1.507981737003797340e+00,2.667963715963967974e+00,-3.503368183176252870e+01,-2.829189925791843141e+00
2.003806876619160793e+00,-1.513110560672893179e+00,2.665733542078589480e+00,-3.501176410899098812e+01,-2.824749831407257883e+00
2.013440563525983773e+00,-1.518259646566809895e+00,2.663500781500518944e+00,-3.498950584952029885e+01,-2.820323181798309875e+00
2.023074250432806309e+00,-1.523429137765396346e+00,2.661265483685595346e+00,-3.496689842422031091e+01,-2.815914904178943523e+00
2.032707937339629289e+00,-1.528618866792149866e+00,2.659027682700553896e+00,-3.494395737673951885e+01,-2.811529751676922650e+00
2.042341624246452270e+00,-1.533828475217647647e+00,2.656787380846622693e+00,-3.492071769928156044e+01,-2.807170871210078911e+00
2.051975311153275250e+00,-1.539057588842656310e+00,2.654544542106977545e+00,-3.489722335680225740e+01,-2.802838889199275041e+00
2.061608998060098230e+00,-1.544305994882517297e+00,2.652299097211868073e+00,-3.487351435262063859e+01,-2.798531777851571256e+00
2.071242684966920766e+00,-1.549573767918052347e+00,2.650050958595965511e+00,-3.484961528676947751e+01,-2.794245523292158140e+00
2.080876371873743746e+00,-1.554861307693425010e+00,2.647800040582982906e+00,-3.482552881138017398e+01,-2.789975375237538913e+00
2.090510058780566727e+00,-1.560169278951766492e+00,2.645546278644647309e+00,-3.480123583286034972e+01,-2.785717288661782476e+00
2.100143745687389707e+00,-1.565498473082548969e+00,2.643289641965900216e+00,-3.477670224063919591e+01,-2.781469119648072308e+00
2.109777432594212687e+00,-1.570849634489366542e+00,2.641030135657741251e+00,-3.475188998773185034e+01,-2.777231221690322993e+00
2.119411119501035667e+00,-1.576223304442187612e+00,2.638767792130558121e+00,-3.472676909053352290e+01,-2.773006276958578376e+00
2.129044806407858204e+00,-1.581619729024823728e+00,2.636502654403992452e+00,-3.470132691625945398e+01,-2.768798430886075135e+00
2.138678493314681184e+00,-1.587038857747828935e+00,2.634234756503474273e+00,-3.467557202506019109e+01,-2.764612006645383424e+00
2.148312180221504164e+00,-1.592480431720274758e+00,2.631964106881235832e+00,-3.464953153687203269e+01,-2.760450196319544247e+00
2.157945867128326700e+00,-1.597944133396959732e+00,2.629690679791287788e+00,-3.462324296813650903e+01,-2.756314123321026877e+00
2.167579554035150124e+00,-1.603429751893914457e+00,2.627414417076505249e+00,-3.459674312640047589e+01,-2.752202549374939355e+00
2.177213240941972661e+00,-1.608937313955911552e+00,2.625135239657832464e+00,-3.457005747320014422e+01,-2.748112298796252073e+00
2.186846927848795197e+00,-1.614467141804029060e+00,2.622853065113325943e+00,-3.454319314155802090e+01,-2.744039255411211187e+00
2.196480614755618621e+00,-1.620019821693679418e+00,2.620567825965171238e+00,-3.451613761960690852e+01,-2.739979619016116530e+00
2.206114301662441157e+00,-1.625596094100026701e+00,2.618279483168509891e+00,-3.448886336319985446e+01,-2.735931037834526958e+00
2.215747988569264582e+00,-1.631196699811649165e+00,2.615988030827243183e+00,-3.446133681462941922e+01,-2.731893279591592005e+00
2.225381675476087118e+00,-1.636822228900888243e+00,2.613693490862056823e+00,-3.443352901608606231e+01,-2.727868250071314726e+00
2.235015362382910098e+00,-1.642473017914894085e+00,2.611395899394986841e+00,-3.440542459029340705e+01,-2.723859368436522210e+00
2.244649049289733078e+00,-1.648149125414662075e+00,2.609095289074922608e+00,-3.437702642421123045e+01,-2.719870501887804437e+00
2.254282736196555614e+00,-1.653850391968815448e+00,2.606791672720203401e+00,-3.434835474536783551e+01,-2.715904790310299965e+00
2.263916423103378595e+00,-1.659576565238328749e+00,2.604485033173043362e+00,-3.431944099883025245e+01,-2.711963717075713376e+00
2.273550110010201575e+00,-1.665327451539129644e+00,2.602175322316589323e+00,-3.429031848824918427e+01,-2.708046699714910410e+00
2.283183796917024555e+00,-1.671103047923301776e+00,2.599862469405856746e+00,-3.426101267088916558e+01,-2.704151311276558722e+00
2.292817483823847091e+00,-1.676903615394566005e+00,2.597546396062866414e+00,-3.423153403106005044e+01,-2.700274050996639197e+00
2.302451170730670515e+00,-1.682729672177284197e+00,2.595227033325218535e+00,-3.420187561212942029e+01,-2.696411419923324893e+00
2.312084857637493052e+00,-1.688581910309589595e+00,2.592904335591982523e+00,-3.417201584016465432e+01,-2.692560971407624848e+00
2.321718544544316032e+00,-1.694461061821988856e+00,2.590578287322969686e+00,-3.414192566983645349e+01,-2.688722021563072495e+00
2.331352231451139012e+00,-1.700367755508344070e+00,2.588248900588987933e+00,-3.411157780788936122e+01,-2.684895814009657489e+00
2.340985918357961548e+00,-1.706302407494648232e+00,2.585916204349329561e+00,-3.408095519567261533e+01,-2.681085101727182618e+00
2.350619605264784973e+00,-1.712265177994165555e+00,2.583580228805524737e+00,-3.405005621763871204e+01,-2.677293284882595437e+00
2.360253292171607509e+00,-1.718256006254806900e+00,2.581240989609283609e+00,-3.401889514415146465e+01,-2.673523373945247084e+00
2.369886979078430489e+00,-1.724274712023016187e+00,2.578898476674156282e+00,-3.398749778463930937e+01,-2.669777093858016759e+00
2.379520665985253469e+00,-1.730321132032871745e+00,2.576552650885380213e+00,-3.395589376850946195e+01,-2.666054395303690594e+00
2.389154352892076449e+00,-1.736395249972970234e+00,2.574203449579239411e+00,-3.392410785183496813e+01,-2.662353510465550244e+00
2.398788039798898986e+00,-1.742497280962792772e+00,2.571850799014407496e+00,-3.389215288368401957e+01,-2.658671523851726448e+00
