Frequency (GHz), Wave Refl (dB), Wave Refl (rad), Wave Trans (dB), Wave Trans (rad)
1.464320409837079007e+00,-9.372740489968414135e-01,3.118390966115514029e+00,-2.434004876628917913e+01,2.461323323059416257e+00
1.473954096743901987e+00,-9.386622494134317929e-01,3.118390087192565385e+00,-2.436325835847912202e+01,2.458590576739434486e+00
1.483587783650724967e+00,-9.400448175099772596e-01,3.118390607812836723e+00,-2.438638875892424451e+01,2.455878525527218859e+00
1.493221470557547503e+00,-9.414198827060800134e-01,3.118392612781507367e+00,-2.440944207550456468e+01,2.453183634838413951e+00
1.502855157464370484e+00,-9.427854058513223112e-01,3.118396058104911717e+00,-2.443243529129053115e+01,2.450503104824212741e+00
1.512488844371193464e+00,-9.441397942617244521e-01,3.118400781713522640e+00,-2.445539458482321749e+01,2.447835645698449802e+00
1.522122531278016222e+00,-9.454823677659278669e-01,3.118406549541093753e+00,-2.447834703833031256e+01,2.445181789472733236e+00
1.531756218184839202e+00,-9.468135391390865019e-01,3.118413122219128031e+00,-2.450131224605941327e+01,2.442543654715989110e+00
1.541389905091662182e+00,-9.481346615879928663e-01,3.118420321805036366e+00,-2.452429631450807790e+01,2.439924244837062162e+00
1.551023591998485163e+00,-9.494475972921377904e-01,3.118428078454399621e+00,-2.454728998829190090e+01,2.437326497078389664e+00
1.560657278905307699e+00,-9.507541436387223488e-01,3.118436443470719688e+00,-2.457027137941251738e+01,2.434752369107302084e+00
1.570290965812130679e+00,-9.520554933208769111e-01,3.118445565612141923e+00,-2.459321240431258460e+01,2.432202233588094842e+00
1.579924652718953659e+00,-9.533518900526073425e-01,3.118455638668171215e+00,-2.461608694972012401e+01,2.429674754875838616e+00
1.589558339625776640e+00,-9.546425789213530688e-01,3.118466836776129902e+00,-2.463887831019613373e+01,2.427167275780637290e+00
1.599192026532599398e+00,-9.559260593644482995e-01,3.118479257248105707e+00,-2.466158369969671327e+01,2.424676590318867397e+00
1.608825713439422378e+00,-9.572005574623849711e-01,3.118492887953722370e+00,-2.468421454794907177e+01,2.422199865777017624e+00
1.618459400346245358e+00,-9.584645701501404158e-01,3.118507608512990359e+00,-2.470679256910840138e+01,2.419735437191206540e+00
1.628093087253068116e+00,-9.597173157055629567e-01,3.118523224157795593e+00,-2.472934284798024862e+01,2.417283240273636391e+00
1.637726774159890875e+00,-9.609589569136255394e-01,3.118539521307935214e+00,-2.475188605331012326e+01,2.414844760585659333e+00
1.647360461066713855e+00,-9.621905348355185295e-01,3.118556327617625357e+00,-2.477443210856621647e+01,2.412422522761211052e+00
1.656994147973536835e+00,-9.634136397025137022e-01,3.118573558294230885e+00,-2.479697717547225011e+01,2.410019279778401025e+00
1.666627834880359593e+00,-9.646299240498283911e-01,3.118591235038695952e+00,-2.481950478883810618e+01,2.407637148501731161e+00
1.676261521787182573e+00,-9.658406083695170175e-01,3.118609472513286018e+00,-2.484199073396402468e+01,2.405276949409725695e+00
1.685895208694005554e+00,-9.670461284506091104e-01,3.118628437140420040e+00,-2.486441015293182488e+01,2.402937943427289280e+00
1.695528895600828312e+00,-9.682460275616280310e-01,3.118648291266676420e+00,-2.488674472829734441e+01,2.400618037564450358e+00
1.705162582507651070e+00,-9.694391205688525082e-01,3.118669139847897842e+00,-2.490898780441757054e+01,2.398314390418943898e+00
1.714796269414474050e+00,-9.706238745359403453e-01,3.118690995674747057e+00,-2.493114595520028232e+01,2.396024230648086117e+00
1.724429956321297031e+00,-9.717988863135100797e-01,3.118713773220456620e+00,-2.495323658991029347e+01,2.393745641107017263e+00
1.734063643228119789e+00,-9.729633109815959413e-01,3.118737312346269608e+00,-2.497528237582664090e+01,2.391478075654980273e+00
1.743697330134942769e+00,-9.741171129734456091e-01,3.118761424072285404e+00,-2.499730419172178841e+01,2.389222459155914802e+00
1.753331017041765749e+00,-9.752610679177863284e-01,3.118785944135606059e+00,-2.501931473473056755e+01,2.386980847814954565e+00
1.762964703948588507e+00,-9.763965199369735171e-01,3.118810778013987317e+00,-2.504131467314038417e+01,2.384755758214771149e+00
1.772598390855411488e+00,-9.775249727809967037e-01,3.118835924013019678e+00,-2.506329244900896924e+01,2.382549370179124271e+00
1.782232077762234246e+00,-9.786476416333079742e-01,3.118861467913126795e+00,-2.508522773106415471e+01,2.380362842811726498e+00
1.791865764669057226e+00,-9.797651016221879949e-01,3.118887551386346324e+00,-2.510709743227284108e+01,2.378195945631996988e+00
1.801499451575879984e+00,-9.808771370651959698e-01,3.118914324257722637e+00,-2.512888245956009570e+01,2.376047109841367355e+00
1.811133138482702964e+00,-9.819828327710966587e-01,3.118941895349794713e+00,-2.515057317253872071e+01,2.373913878014692447e+00
1.820766825389525945e+00,-9.830808748579618062e-01,3.118970296772092254e+00,-2.517217194316548756e+01,2.371793612052963685e+00
1.830400512296348703e+00,-9.841699660094764823e-01,3.118999472157121478e+00,-2.519369209711456747e+01,2.369684244299969045e+00
1.840034199203171683e+00,-9.852492275028646995e-01,3.119029291905881518e+00,-2.521515360811271833e+01,2.367584847117063074e+00
1.849667886109994441e+00,-9.863184669187694542e-01,3.119059590294468887e+00,-2.523657687940520589e+01,2.365495853833865514e+00
1.859301573016817422e+00,-9.873782334139757921e-01,3.119090212800298190e+00,-2.525797649616833951e+01,2.363418870558624540e+00
1.868935259923640180e+00,-9.884296481136227719e-01,3.119121059155762765e+00,-2.527935681197746121e+01,2.361356141226282013e+00
1.878568946830463160e+00,-9.894740652975977380e-01,3.119152109215719282e+00,-2.530071065725674373e+01,2.359309830616600934e+00
1.888202633737286140e+00,-9.905126700199508027e-01,3.119183424168753049e+00,-2.532202150816825537e+01,2.357281341811783726e+00
1.897836320644109120e+00,-9.915461348997184343e-01,3.119215123211837248e+00,-2.534326841844368516e+01,2.355270871119111042e+00
1.907470007550931879e+00,-9.925744385485841814e-01,3.119247343211900780e+00,-2.536443220312055047e+01,2.353277329798110440e+00
1.917103694457754859e+00,-9.935968973066268140e-01,3.119280193866378781e+00,-2.538550101096009826e+01,2.351298650717382532e+00
1.926737381364577617e+00,-9.946123965606681328e-01,3.119313721990492283e+00,-2.540647363066817377e+01,2.349332382930903407e+00
1.936371068271400375e+00,-9.956197479305541886e-01,3.119347895540477200e+00,-2.542735957582396011e+01,2.347376392537936951e+00
1.946004755178223355e+00,-9.966180620210052243e-01,3.119382611819480733e+00,-2.544817596909641466e+01,2.345429459004395589e+00
1.955638442085046336e+00,-9.976070238424895598e-01,3.119417726925903356e+00,-2.546894220207933657e+01,2.343491590366779675e+00
1.965272128991869316e+00,-9.985869895407712971e-01,3.119453097144951226e+00,-2.548967399715724724e+01,2.341563967243963429e+00
1.974905815898692074e+00,-9.995588785787744568e-01,3.119488619553013375e+00,-2.551037865263478110e+01,2.339648537687931906e+00
1.984539502805515054e+00,-1.000523897779406424e+00,3.119524259581768710e+00,-2.553105287358092568e+01,2.337747388762359879e+00
1.994173189712338035e+00,-1.001483183740972116e+00,3.119560057457123836e+00,-2.555168379963294356e+01,2.335862085549588851e+00
2.003806876619160793e+00,-1.002437473179689453e+00,3.119596111959726858e+00,-2.557225287889525589e+01,2.333993175360621564e+00
2.013440563525983773e+00,-1.003386900285715644e+00,3.119632546832938669e+00,-2.559274139255194314e+01,2.332140002960075176e+00
2.023074250432806309e+00,-1.004330979983047767e+00,3.119669470307618209e+00,-2.561313595775761343e+01,2.330300887840630164e+00
2.032707937339629289e+00,-1.005268778743520608e+00,3.119706940100304582e+00,-2.563343236464778840e+01,2.328473605758950793e+00
2.042341624246452270e+00,-1.006199217913407384e+00,3.119744944362358385e+00,-2.565363662265244926e+01,2.326656026553072021e+00
2.051975311153275250e+00,-1.007121415473722026e+00,3.119783404048254383e+00,-2.567376294051550545e+01,2.324846715477891568e+00
2.061608998060098230e+00,-1.008034962240334842e+00,3.119822195600629566e+00,-2.569382928499667074e+01,2.323045318776717494e+00
2.071242684966920766e+00,-1.008940050188442017e+00,3.119861186730191083e+00,-2.571385187839208086e+01,2.321252621138543581e+00
2.080876371873743746e+00,-1.009837416745564598e+00,3.119900274240385851e+00,-2.573384029360827796e+01,2.319470262279647699e+00
2.090510058780566727e+00,-1.010728125158852686e+00,3.119939412425439595e+00,-2.575379460447699032e+01,2.317700201891467859e+00
2.100143745687389707e+00,-1.011613250230120720e+00,3.119978623622719827e+00,-2.577370541567868045e+01,2.315944096149516795e+00
2.109777432594212687e+00,-1.012493566091724029e+00,3.120017988042694590e+00,-2.579355672591717408e+01,2.314202773249706802e+00
2.119411119501035667e+00,-1.013369330381796107e+00,3.120057616313753890e+00,-2.581333073232127617e+01,2.312475963466984030e+00
2.129044806407858204e+00,-1.014240228390353771e+00,3.120097613343777887e+00,-2.583301311509391240e+01,2.310762361236176066e+00
2.138678493314681184e+00,-1.015105491287263906e+00,3.120138044575609726e+00,-2.585259721577884662e+01,2.309059996532617287e+00
2.148312180221504164e+00,-1.015964149675150807e+00,3.120178914798422465e+00,-2.587208587289584116e+01,2.307366800581004629e+00
2.157945867128326700e+00,-1.016815343466198840e+00,3.120220165706451443e+00,-2.589149039499117677e+01,2.305681194181799842e+00
2.167579554035150124e+00,-1.017658593404300538e+00,3.120261692622679384e+00,-2.591082701443269798e+01,2.304002522320354629e+00
2.177213240941972661e+00,-1.018493952762458354e+00,3.120303375003290469e+00,-2.593011191485814138e+01,2.302331206963038834e+00
2.186846927848795197e+00,-1.019321995358044797e+00,3.120345111262963211e+00,-2.594935633791255469e+01,2.300668575896464674e+00
2.196480614755618621e+00,-1.020143646265265103e+00,3.120386847314077894e+00,-2.596856323190248617e+01,2.299016422887709687e+00
2.206114301662441157e+00,-1.020959909066723403e+00,3.120428590292153803e+00,-2.598772642546774136e+01,2.297376434066883188e+00
2.215747988569264582e+00,-1.021771573873475392e+00,3.120470403562483952e+00,-2.600683254236290409e+01,2.295749653744541874e+00
2.225381675476087118e+00,-1.022578994755622750e+00,3.120512384829094987e+00,-2.602586505134922135e+01,2.294136148986027468e+00
2.235015362382910098e+00,-1.023382002763521204e+00,3.120554634247432180e+00,-2.604480921384573122e+01,2.292534970938488570e+00
2.244649049289733078e+00,-1.024179978618635856e+00,3.120597222351625177e+00,-2.606365643776078400e+01,2.290944420975535412e+00
2.254282736196555614e+00,-1.024972060464172108e+00,3.120640167502270579e+00,-2.608240674092017741e+01,2.289362538379753342e+00
2.263916423103378595e+00,-1.025757421615023812e+00,3.120683429522409291e+00,-2.610106860869853307e+01,2.287787660901805520e+00
2.273550110010201575e+00,-1.026535533128839273e+00,3.120726921184230118e+00,-2.611965631941898991e+01,2.286218889451637981e+00
2.283183796917024555e+00,-1.027306331989382038e+00,3.120770533781980216e+00,-2.613818556868845988e+01,2.284656318906107320e+00
2.292817483823847091e+00,-1.028070245523853954e+00,3.120814168825602142e+00,-2.615666872318877978e+01,2.283100968721531565e+00
2.302451170730670515e+00,-1.028828066964351473e+00,3.120857766165494152e+00,-2.617511112923376260e+01,2.281554437705950011e+00
2.312084857637493052e+00,-1.029580722183374597e+00,3.120901320093342424e+00,-2.619350956860245105e+01,2.280018389556616842e+00
2.321718544544316032e+00,-1.030328999924497557e+00,3.120944878736582329e+00,-2.621185329877832970e+01,2.278494025138838364e+00
2.331352231451139012e+00,-1.031073327749669977e+00,3.120988527193283346e+00,-2.623012733641628813e+01,2.276981699644625490e+00
2.340985918357961548e+00,-1.031813660794492327e+00,3.121032359767170750e+00,-2.624831697536430752e+01,2.275480797625311968e+00
2.350619605264784973e+00,-1.032549515234728821e+00,3.121076449876674097e+00,-2.626641217209795798e+01,2.273989900432735745e+00
2.360253292171607509e+00,-1.033280134077822598e+00,3.121120826781875301e+00,-2.628441048612256736e+01,2.272507192633518969e+00
2.369886979078430489e+00,-1.034004733041222313e+00,3.121165466067894911e+00,-2.630231771034424781e+01,2.271030982932448428e+00
2.379520665985253469e+00,-1.034722750849205619e+00,3.121210296552723751e+00,-2.632014602844049023e+01,2.269560182197521758e+00
2.389154352892076449e+00,-1.035434028107442561e+00,3.121255221275458958e+00,-2.633791027939451368e+01,2.268094595811541936e+00
2.398788039798898986e+00,-1.036138861694433588e+00,3.121300145995011377e+00,-2.635562347001145866e+01,2.266634944852002231e+00
2.408421726705721966e+00,-1.036837920098794719e+00,3.121345006456311744e+00,-2.637329288842067854e+01,2.265182612827882913e+00
2.418055413612544946e+00,-1.037532047445351324e+00,3.121389786187077853e+00,-2.639091797606091561e+01,2.263739196935497855e+00
2.427689100519367482e+00,-1.038222017227726557e+00,3.121434519579497913e+00,-2.640849057600769711e+01,2.262306000435715614e+00
2.437322787426190907e+00,-1.038908311069373092e+00,3.121479279544932872e+00,-2.642599745713646797e+01,2.260883618872034262e+00
2.446956474333013443e+00,-1.039590989126317533e+00,3.121524153710562910e+00,-2.644342433314503893e+01,2.259471743095967877e+00
2.456590161239836867e+00,-1.040269690005291015e+00,3.121569216536315583e+00,-2.646076015588295860e+01,2.258069235813669806e+00
2.466223848146659403e+00,-1.040943758297059540e+00,3.121614505855657029e+00,-2.647800039296414099e+01,2.256674455795952827e+00
2.475857535053481939e+00,-1.041612459216487263e+00,3.121660010878485991e+00,-2.649514831764285816e+01,2.255285729902671843e+00
2.485491221960305364e+00,-1.042275214064770417e+00,3.121705675120199253e+00,-2.651221394533282449e+01,2.253901829788069744e+00
2.495124908867127900e+00,-1.042931784897721315e+00,3.121751413150656074e+00,-2.652921096094616615e+01,2.252522310276464435e+00
2.504758595773950880e+00,-1.043582353211266023e+00,3.121797135888241037e+00,-2.654615258008270118e+01,2.251147609432825991e+00
2.514392282680773860e+00,-1.044227470353036979e+00,3.121842776653400264e+00,-2.656304759645726676e+01,2.249778882896185550e+00
2.524025969587596840e+00,-1.044867896537242657e+00,3.121888310079030671e+00,-2.657989779844256972e+01,2.248417624993064301e+00
